,ranker 1,ranker 2,ranker 3,ranker 4,ranker 5,ranker 6,ranker 7,ranker 8,ranker 9,ranker 10,ranker 11,ranker 12
W01,1,7,0,1,4,12,1,10,8,6,7,7
W02,0,0,4,6,11,11,9,13,14,9,8,4
W03,8,10,10,4,3,7,3,6,0,0,0,2
W04,2,4,3,0,0,3,4,2,7,12,1,9
W05,11,18,7,14,8,15,18,0,15,5,3,1
W06,4,6,9,11,7,0,0,4,9,7,4,5
M01,6,2,6,13,6,9,6,7,3,8,9,17
M02,7,14,5,3,12,4,14,8,4,4,12,10
M03,9,5,2,9,2,6,2,11,12,3,10,13
M04,3,16,1,8,5,5,15,3,10,10,6,11
M05,10,8,11,15,10,8,10,9,1,19,13,8
M06,5,15,8,2,13,10,7,14,2,15,14,3
M07,17,1,18,5,9,13,12,5,6,13,15,16
M08,13,12,15,7,1,2,13,12,16,17,2,0
M09,14,17,13,19,15,18,11,16,13,1,5,12
M10,16,11,12,18,16,1,16,1,11,16,18,14
M11,15,3,19,10,18,17,19,17,5,2,17,18
M12,19,9,14,17,17,16,8,18,18,11,11,15
M13,12,19,16,12,14,19,5,19,19,14,16,6
M14,18,13,17,16,19,14,17,15,17,18,19,19
