,ranker 1,ranker 2,ranker 3,ranker 4,ranker 5,ranker 6,ranker 7,ranker 8,ranker 9,ranker 10,ranker 11,ranker 12
W01,0,4,6,4,6,4,4,6,4,6,6,4
W02,4,5,8,6,11,6,8,4,8,0,12,6
W03,2,12,13,11,4,8,7,8,11,2,7,11
W04,8,6,12,12,7,7,0,2,7,7,4,7
W05,7,1,4,0,2,0,1,11,6,11,1,8
W06,6,7,0,3,3,12,2,0,2,4,13,1
M01,11,8,11,7,1,10,6,9,12,12,2,12
M02,13,3,7,8,0,11,11,7,0,1,11,3
M03,1,2,10,13,5,5,5,3,3,9,8,18
M04,3,13,9,2,15,13,3,1,13,8,5,10
M05,14,9,2,10,8,1,12,12,9,10,3,0
M06,12,18,1,15,12,2,10,5,15,3,0,19
M07,9,11,3,5,14,18,13,16,19,13,14,9
M08,5,17,14,9,9,3,15,13,10,5,16,5
M09,15,19,15,18,10,9,9,10,16,17,9,13
M10,10,10,18,16,16,17,18,14,1,15,10,2
M11,17,14,5,14,17,15,14,18,5,14,15,15
M12,19,0,16,17,13,16,16,15,14,16,18,16
M13,16,16,19,1,18,14,19,17,18,18,17,14
M14,18,15,17,19,19,19,17,19,17,19,19,17
