,ranker 1,ranker 2,ranker 3,ranker 4,ranker 5,ranker 6,ranker 7,ranker 8,ranker 9,ranker 10,ranker 11,ranker 12
W01,0,1,1,2,4,1,1,1,0,1,1,0
W02,1,3,4,0,0,2,4,2,4,5,3,4
W03,4,0,8,3,3,5,0,0,1,6,0,1
W04,6,6,3,6,2,4,5,6,2,4,4,3
W05,3,5,0,1,5,0,2,7,5,0,2,5
W06,9,2,2,4,1,6,10,3,7,2,5,2
M01,2,4,6,9,6,10,3,4,6,3,7,7
M02,7,7,5,5,13,3,6,9,3,11,6,8
M03,5,8,7,8,8,9,7,10,9,9,10,6
M04,12,10,9,7,7,7,8,8,12,7,9,9
M05,11,9,11,11,9,11,9,5,8,8,13,12
M06,10,11,12,12,10,12,15,11,14,12,8,10
M07,8,12,10,10,11,8,16,12,13,13,14,11
M08,16,15,14,19,15,13,11,13,11,10,15,16
M09,18,17,13,13,17,15,14,18,15,15,11,17
M10,14,13,15,15,12,14,12,16,10,14,12,14
M11,13,16,17,14,16,16,18,14,18,18,16,13
M12,15,18,16,17,14,17,13,15,17,16,17,15
M13,17,14,18,18,18,18,19,19,16,17,18,19
M14,19,19,19,16,19,19,17,17,19,19,19,18
