,ranker 1,ranker 2,ranker 3,ranker 4,ranker 5,ranker 6,ranker 7,ranker 8,ranker 9,ranker 10,ranker 11,ranker 12
W01,0,0,1,1,0,2,1,0,0,0,0,0
W02,3,1,3,6,1,0,6,3,3,3,3,1
W03,1,2,7,3,7,1,0,7,7,6,6,6
W04,7,3,0,8,3,8,2,1,1,1,7,8
W05,8,7,2,0,2,6,7,6,6,8,1,3
W06,6,8,8,2,6,4,3,4,8,7,4,2
M01,2,4,6,4,4,3,8,8,4,2,8,4
M02,4,5,4,7,9,7,4,9,5,4,5,5
M03,9,6,5,9,8,9,5,15,9,5,2,15
M04,11,9,11,10,5,5,10,2,10,9,10,7
M05,14,10,9,5,10,13,9,5,2,11,9,10
M06,5,11,10,12,11,10,11,11,12,10,12,9
M07,13,13,12,13,12,11,12,13,13,12,11,11
M08,16,14,15,15,15,12,13,10,11,14,13,12
M09,10,12,14,11,13,18,14,12,14,16,14,13
M10,15,17,16,16,14,14,15,14,16,15,17,14
M11,12,15,13,14,17,15,16,16,18,13,15,17
M12,17,19,18,17,18,16,17,17,17,17,16,16
M13,19,18,19,18,16,17,19,19,15,18,18,19
M14,18,16,17,19,19,19,18,18,19,19,19,18
