,ranker 1,ranker 2,ranker 3,ranker 4,ranker 5,ranker 6,ranker 7,ranker 8,ranker 9,ranker 10,ranker 11,ranker 12
W01,17,12,13,10,7,16,18,5,2,13,2,13
W02,9,16,14,1,17,2,2,13,1,8,9,11
W03,0,7,16,18,5,12,3,0,0,6,1,14
W04,19,1,9,7,8,17,7,4,5,17,10,16
W05,14,13,4,12,1,19,1,18,7,2,4,1
W06,2,19,1,3,0,6,12,3,15,5,11,19
M01,11,11,17,14,11,13,5,6,12,18,7,10
M02,15,17,0,4,4,15,8,1,3,0,14,6
M03,6,2,2,9,6,8,17,2,16,19,13,4
M04,13,0,18,5,3,5,4,8,14,16,16,7
M05,5,4,5,2,10,11,15,16,4,7,19,5
M06,7,15,6,17,15,18,16,14,6,3,3,15
M07,18,3,3,15,19,4,11,17,19,4,12,8
M08,3,9,10,6,14,0,19,11,18,12,0,2
M09,10,6,7,11,12,3,6,10,11,15,18,9
M10,1,14,12,16,13,9,9,7,10,1,6,0
M11,8,8,19,13,18,10,0,12,9,11,15,12
M12,12,18,11,19,16,14,13,9,13,14,5,18
M13,16,10,8,0,2,1,10,15,17,10,8,3
M14,4,5,15,8,9,7,14,19,8,9,17,17
