,ranker 1,ranker 2,ranker 3,ranker 4,ranker 5,ranker 6,ranker 7,ranker 8,ranker 9,ranker 10,ranker 11,ranker 12
W01,0,0,0,4,0,6,0,0,0,0,4,0
W02,4,4,4,0,6,0,7,6,6,6,6,4
W03,7,6,1,8,7,8,4,3,4,7,0,6
W04,8,7,6,6,4,4,9,7,7,4,8,7
W05,9,8,8,7,8,7,1,8,8,1,7,8
W06,6,2,9,9,9,3,8,9,9,8,1,1
M01,2,1,7,1,1,9,6,5,1,3,9,9
M02,5,9,2,2,2,11,3,4,2,5,2,2
M03,1,3,3,5,3,1,2,12,5,9,3,3
M04,3,10,5,3,5,2,5,1,3,2,5,12
M05,12,5,12,10,10,10,10,10,10,12,11,10
M06,11,11,11,11,11,12,12,2,11,11,10,5
M07,10,12,10,12,14,5,11,11,14,13,14,11
M08,13,13,13,13,13,14,14,13,15,15,12,13
M09,15,14,14,14,12,13,13,14,12,10,13,16
M10,14,16,16,15,17,15,15,15,16,17,15,14
M11,16,15,15,19,15,16,18,16,13,14,16,17
M12,17,17,17,17,16,17,16,18,19,16,17,18
M13,19,19,18,16,19,18,17,17,17,18,18,15
M14,18,18,19,18,18,19,19,19,18,19,19,19
