,ranker 1,ranker 2,ranker 3,ranker 4,ranker 5,ranker 6,ranker 7,ranker 8,ranker 9,ranker 10,ranker 11,ranker 12
W01,0,0,4,0,0,0,11,0,0,0,0,14
W02,4,7,0,4,14,4,4,7,11,4,11,0
W03,7,11,7,7,4,14,0,4,4,7,7,4
W04,11,4,1,11,11,11,7,11,14,11,14,7
W05,14,16,11,5,7,7,16,16,16,1,4,16
W06,16,3,14,1,16,16,1,2,7,16,1,11
M01,2,14,2,16,1,1,14,14,2,3,16,2
M02,1,1,16,14,2,3,2,1,1,14,2,1
M03,3,2,8,2,3,2,6,3,5,6,6,3
M04,6,6,3,3,5,5,3,5,3,5,3,5
M05,8,5,5,9,6,6,10,9,8,8,10,8
M06,18,9,6,6,9,10,5,6,6,2,8,6
M07,5,8,15,8,8,8,8,10,12,10,9,9
M08,12,10,9,12,10,9,9,8,9,9,15,10
M09,9,12,12,10,13,18,12,12,17,12,5,12
M10,13,13,10,13,12,17,13,13,13,13,17,15
M11,15,17,18,15,15,12,15,15,15,15,12,19
M12,19,15,17,17,17,13,17,18,10,17,18,13
M13,10,18,13,19,19,19,19,17,18,18,19,18
M14,17,19,19,18,18,15,18,19,19,19,13,17
