,ranker 1,ranker 2,ranker 3,ranker 4,ranker 5,ranker 6,ranker 7,ranker 8,ranker 9,ranker 10,ranker 11,ranker 12
W01,8,4,4,4,7,6,4,4,8,4,4,6
W02,7,6,6,6,4,12,6,8,4,7,6,4
W03,4,7,11,7,8,4,8,6,6,11,7,12
W04,11,8,7,8,6,7,7,7,12,6,12,8
W05,6,11,8,12,11,11,12,1,7,0,11,7
W06,12,12,12,11,12,8,0,11,11,1,2,1
M01,1,1,1,0,1,0,11,2,0,8,0,11
M02,0,0,0,2,0,1,1,12,1,12,8,0
M03,5,2,2,9,3,2,2,9,2,2,1,3
M04,3,3,3,1,2,3,3,5,5,10,5,9
M05,2,5,5,3,5,5,9,0,3,5,13,2
M06,10,9,13,5,9,9,10,3,10,13,3,10
M07,13,10,9,13,10,14,5,13,9,3,9,5
M08,14,13,10,15,18,10,13,10,13,14,10,13
M09,15,14,14,10,13,17,14,14,14,9,16,15
M10,16,19,15,14,16,13,17,15,15,15,14,14
M11,9,16,16,18,14,15,19,16,17,17,15,16
M12,17,15,17,17,15,18,15,19,16,16,18,17
M13,18,17,19,16,17,16,18,17,18,18,17,19
M14,19,18,18,19,19,19,16,18,19,19,19,18
