,ranker 1,ranker 2,ranker 3,ranker 4,ranker 5,ranker 6,ranker 7,ranker 8,ranker 9,ranker 10,ranker 11,ranker 12
W01,1,1,2,1,4,3,0,1,1,3,8,0
W02,7,0,1,2,6,1,3,11,2,4,1,4
W03,2,3,12,10,1,9,8,2,8,0,0,13
W04,14,16,5,3,11,10,6,4,19,2,2,10
W05,4,10,3,0,0,5,11,9,10,6,10,1
W06,0,2,16,5,2,8,10,0,6,11,5,5
M01,8,9,18,13,3,7,4,3,0,10,3,7
M02,11,11,9,6,5,6,16,17,15,9,7,2
M03,12,14,4,11,14,14,18,12,4,1,4,9
M04,5,4,10,17,7,0,1,13,5,8,9,6
M05,6,6,11,14,8,18,14,14,13,13,15,12
M06,15,7,17,9,19,13,19,5,3,7,13,8
M07,9,13,7,16,18,4,2,6,16,14,12,11
M08,10,12,0,8,13,15,9,18,7,12,6,16
M09,16,5,6,12,10,12,17,15,17,19,16,3
M10,18,18,14,7,17,2,7,7,11,15,19,15
M11,13,19,13,4,15,11,13,8,9,5,14,18
M12,17,8,8,15,16,16,5,10,14,16,18,14
M13,19,17,15,18,9,19,12,19,18,17,11,17
M14,3,15,19,19,12,17,15,16,12,18,17,19
