,ranker 1,ranker 2,ranker 3,ranker 4,ranker 5,ranker 6,ranker 7,ranker 8,ranker 9,ranker 10,ranker 11,ranker 12
W01,2,2,1,12,6,2,11,0,4,6,5,7
W02,4,6,8,14,9,16,7,6,7,0,7,11
W03,11,5,11,4,7,0,6,7,6,12,8,1
W04,8,4,5,19,12,8,4,5,12,4,4,12
W05,12,7,6,7,10,11,2,4,1,13,3,2
W06,6,3,0,8,16,12,0,2,8,11,9,9
M01,16,13,7,6,4,5,8,11,10,16,0,3
M02,15,8,12,1,5,6,18,8,16,10,1,6
M03,7,0,4,0,1,19,1,9,9,8,12,5
M04,18,16,13,2,11,7,5,10,19,3,14,13
M05,3,1,18,3,2,17,13,12,14,9,6,4
M06,5,11,15,5,8,3,12,15,2,5,16,0
M07,0,12,19,18,14,9,17,13,0,1,11,16
M08,10,10,16,10,0,4,14,1,13,2,10,10
M09,13,18,3,13,3,10,10,16,15,19,13,8
M10,9,14,9,9,13,15,9,14,3,14,19,18
M11,19,9,10,11,15,18,3,3,11,15,15,17
M12,1,17,2,17,19,1,15,18,5,18,18,14
M13,17,19,14,16,18,14,19,17,17,17,2,15
M14,14,15,17,15,17,13,16,19,18,7,17,19
