,ranker 1,ranker 2,ranker 3,ranker 4,ranker 5,ranker 6,ranker 7,ranker 8,ranker 9,ranker 10,ranker 11,ranker 12
W01,4,6,0,8,4,7,0,4,6,4,7,4
W02,0,4,6,6,0,2,4,6,0,0,4,7
W03,8,5,7,15,6,0,6,8,1,7,1,9
W04,7,0,2,0,8,1,5,7,4,6,0,8
W05,1,1,4,7,7,9,9,1,2,9,8,3
W06,2,7,8,1,9,6,7,0,7,1,6,0
M01,6,8,9,2,2,4,8,3,10,8,5,2
M02,9,9,5,9,3,8,1,5,8,12,2,1
M03,3,2,11,13,5,3,13,2,9,3,3,10
M04,5,10,1,5,1,11,2,9,5,2,11,12
M05,14,3,10,4,10,14,3,10,3,5,10,6
M06,10,11,3,3,11,5,15,11,12,10,9,5
M07,12,12,12,10,13,17,10,13,16,11,15,11
M08,11,13,14,11,15,10,12,12,19,14,16,13
M09,13,14,13,14,16,13,14,14,14,17,13,14
M10,18,15,18,16,14,16,11,15,11,16,12,17
M11,19,17,16,17,17,18,17,18,13,19,19,18
M12,15,18,15,18,12,12,18,16,18,13,14,15
M13,16,16,19,12,18,15,16,17,15,15,18,16
M14,17,19,17,19,19,19,19,19,17,18,17,19
