,ranker 1,ranker 2,ranker 3,ranker 4,ranker 5,ranker 6,ranker 7,ranker 8,ranker 9,ranker 10,ranker 11,ranker 12
W01,7,16,0,4,7,0,7,4,0,7,4,4
W02,0,0,7,0,3,4,0,7,4,0,11,7
W03,14,7,3,16,0,11,1,11,16,1,14,11
W04,11,4,4,1,4,7,2,2,7,2,0,0
W05,8,9,11,11,11,14,3,14,14,4,1,14
W06,3,1,14,6,14,1,14,0,1,11,16,16
M01,4,11,5,2,1,16,9,16,6,14,6,2
M02,16,3,16,7,2,3,5,13,11,16,7,5
M03,2,5,2,3,16,2,11,5,3,5,2,3
M04,5,6,1,5,8,6,16,1,2,8,8,10
M05,1,14,6,14,10,15,4,8,8,10,9,17
M06,15,8,12,13,6,8,8,3,12,6,5,1
M07,6,10,8,8,12,5,6,9,13,9,3,8
M08,9,2,10,17,9,12,10,10,5,12,13,12
M09,17,12,17,10,5,9,17,6,17,3,10,6
M10,13,17,9,9,13,10,13,12,9,18,12,9
M11,19,13,13,12,15,13,12,15,15,15,19,19
M12,10,18,15,15,18,18,15,18,10,13,15,13
M13,18,15,19,18,17,17,19,17,19,17,17,18
M14,12,19,18,19,19,19,18,19,18,19,18,15
