,ranker 1,ranker 2,ranker 3,ranker 4,ranker 5,ranker 6,ranker 7,ranker 8,ranker 9,ranker 10,ranker 11,ranker 12
W01,15,10,3,19,10,18,5,1,16,16,6,9
W02,1,5,10,0,1,12,17,14,3,7,3,4
W03,5,3,9,15,18,17,4,2,11,10,0,10
W04,16,19,12,17,11,4,2,4,17,5,16,3
W05,8,14,1,9,16,9,13,7,10,12,17,8
W06,13,13,18,10,17,0,9,16,13,19,19,2
M01,7,16,17,7,15,2,1,19,8,17,4,1
M02,18,6,8,18,5,8,6,12,19,4,13,16
M03,17,15,5,1,13,3,12,3,0,2,5,14
M04,12,11,15,12,7,15,0,10,9,1,10,12
M05,19,18,6,4,19,5,7,8,6,15,9,17
M06,10,1,2,13,9,6,8,6,15,11,11,19
M07,9,12,0,6,8,16,3,9,2,8,7,11
M08,2,8,4,16,14,13,11,18,4,3,18,18
M09,14,4,19,11,0,10,15,5,1,9,12,5
M10,3,7,11,2,6,1,16,11,14,18,8,15
M11,4,9,7,8,3,19,18,0,12,14,1,7
M12,6,0,16,5,12,14,14,15,18,6,14,6
M13,11,17,14,14,2,11,19,13,7,13,2,13
M14,0,2,13,3,4,7,10,17,5,0,15,0
