,ranker 1,ranker 2,ranker 3,ranker 4,ranker 5,ranker 6,ranker 7,ranker 8,ranker 9,ranker 10,ranker 11,ranker 12
W01,3,2,3,8,4,0,0,1,0,3,7,4
W02,6,7,7,13,7,1,1,7,4,9,5,3
W03,4,6,0,0,6,2,6,4,13,4,6,0
W04,12,14,4,4,10,12,7,9,7,11,18,9
W05,7,12,6,14,18,6,10,5,17,6,10,7
W06,10,0,2,12,3,15,11,18,9,0,3,1
M01,13,13,12,6,13,9,8,3,6,1,0,2
M02,14,3,10,9,0,3,3,0,8,2,8,11
M03,18,15,8,7,1,14,15,10,15,8,11,6
M04,0,18,13,2,2,8,2,13,2,7,13,5
M05,5,9,15,15,19,4,16,11,1,14,9,15
M06,16,4,5,11,12,10,5,6,3,10,1,12
M07,2,5,14,18,11,19,17,15,14,13,14,8
M08,11,1,1,16,16,7,4,17,5,5,16,17
M09,15,11,16,5,8,16,19,12,12,16,4,13
M10,1,16,9,10,17,13,12,8,19,15,15,10
M11,17,8,18,3,9,11,14,16,11,12,2,14
M12,9,17,11,1,5,5,13,2,18,18,12,18
M13,19,10,19,19,14,18,18,19,16,19,17,16
M14,8,19,17,17,15,17,9,14,10,17,19,19
