,ranker 1,ranker 2,ranker 3,ranker 4,ranker 5,ranker 6,ranker 7,ranker 8,ranker 9,ranker 10,ranker 11,ranker 12
W01,4,2,3,14,0,0,2,15,8,7,0,0
W02,11,7,0,0,2,14,0,0,11,14,3,14
W03,7,14,16,16,7,11,11,10,7,16,1,16
W04,12,5,2,1,16,16,1,7,14,1,8,10
W05,5,0,7,7,11,6,3,2,0,2,7,4
W06,14,3,6,3,14,17,4,1,16,15,4,3
M01,0,15,4,9,12,1,15,16,5,0,2,13
M02,18,16,12,5,1,5,6,11,2,4,14,6
M03,1,6,17,18,3,4,9,14,3,12,9,1
M04,8,8,1,11,5,3,16,5,4,5,12,12
M05,6,9,11,13,8,13,7,4,10,3,5,7
M06,16,19,8,4,4,18,18,12,9,10,11,9
M07,17,1,13,6,10,19,17,6,6,6,13,11
M08,15,4,5,10,9,8,12,9,17,13,15,15
M09,2,10,14,15,6,7,14,3,13,17,10,5
M10,10,12,10,2,19,12,5,8,1,8,6,2
M11,3,17,19,19,13,10,8,13,19,18,17,8
M12,13,18,9,8,18,2,13,17,15,11,18,17
M13,19,13,15,17,15,15,10,18,12,19,19,18
M14,9,11,18,12,17,9,19,19,18,9,16,19
