,ranker 1,ranker 2,ranker 3,ranker 4,ranker 5,ranker 6,ranker 7,ranker 8,ranker 9,ranker 10,ranker 11,ranker 12
W01,4,4,8,0,4,4,4,5,0,8,0,0
W02,7,8,4,4,9,0,0,0,4,3,7,6
W03,0,1,0,7,7,6,8,7,6,0,9,1
W04,6,0,6,6,6,2,6,4,10,4,8,4
W05,9,7,9,9,10,5,7,6,9,6,4,7
W06,8,9,1,1,2,8,1,13,5,2,1,8
M01,1,3,7,8,3,3,3,1,2,7,11,2
M02,5,10,10,2,1,9,5,8,8,9,6,15
M03,10,6,2,5,12,18,11,3,7,10,14,9
M04,3,5,11,3,11,16,2,9,12,1,5,12
M05,18,17,12,10,5,12,13,10,3,12,2,5
M06,2,11,14,16,0,1,9,2,11,19,10,11
M07,11,12,5,11,8,10,12,12,13,5,12,3
M08,12,13,13,13,13,7,17,14,19,15,3,17
M09,19,18,3,14,15,15,15,11,1,11,13,10
M10,15,2,17,17,16,11,16,15,15,13,15,19
M11,16,15,18,15,17,14,14,19,14,14,17,14
M12,13,16,19,18,19,13,10,18,17,16,16,13
M13,14,14,15,19,18,17,19,17,16,17,18,18
M14,17,19,16,12,14,19,18,16,18,18,19,16
