,ranker 1,ranker 2,ranker 3,ranker 4,ranker 5,ranker 6,ranker 7,ranker 8,ranker 9,ranker 10,ranker 11,ranker 12
W01,15,0,14,15,16,16,18,15,5,11,8,10
W02,10,18,11,17,3,9,14,17,16,4,15,11
W03,7,6,16,3,8,14,15,9,15,13,12,7
W04,11,5,10,18,15,18,7,6,10,9,2,19
W05,13,19,18,9,11,3,11,3,18,12,7,17
W06,14,9,7,4,2,7,16,0,3,2,18,14
M01,18,16,8,1,7,4,3,13,6,17,3,15
M02,9,15,13,14,14,2,5,2,1,0,0,16
M03,16,12,3,12,12,19,9,4,8,10,1,0
M04,19,1,4,16,17,1,10,11,7,7,14,6
M05,12,10,15,2,1,8,19,10,17,6,17,8
M06,2,14,2,10,10,17,4,16,11,19,10,2
M07,0,11,0,11,19,10,8,12,19,5,5,1
M08,1,3,12,13,9,0,1,14,2,3,19,3
M09,4,8,9,5,13,13,13,8,0,16,4,5
M10,17,7,5,7,4,5,0,19,12,18,11,4
M11,6,13,17,19,6,15,12,18,4,8,13,13
M12,8,4,1,8,0,12,17,5,14,14,16,9
M13,3,17,6,6,18,6,6,7,13,15,6,12
M14,5,2,19,0,5,11,2,1,9,1,9,18
