,ranker 1,ranker 2,ranker 3,ranker 4,ranker 5,ranker 6,ranker 7,ranker 8,ranker 9,ranker 10,ranker 11,ranker 12
W01,1,0,0,0,1,1,1,1,0,1,6,6
W02,0,3,7,1,6,0,3,3,1,0,0,3
W03,3,1,3,3,0,3,0,0,7,3,3,8
W04,6,6,1,6,3,6,6,6,3,6,1,0
W05,8,8,6,10,7,7,7,7,6,8,2,4
W06,7,4,8,7,2,8,8,8,8,7,7,1
M01,2,2,2,8,8,5,4,2,2,4,8,5
M02,9,7,5,2,9,4,2,5,5,9,4,7
M03,4,9,9,4,4,2,5,4,9,2,5,9
M04,5,10,4,9,11,9,10,9,4,5,9,2
M05,11,5,13,13,10,10,9,11,10,10,10,10
M06,10,13,10,11,5,11,14,12,12,11,14,11
M07,12,11,15,5,12,13,11,13,11,13,11,12
M08,14,12,11,12,18,14,12,10,13,12,12,13
M09,13,15,14,14,13,12,13,14,14,15,13,15
M10,18,14,12,17,19,15,16,15,15,16,16,16
M11,16,17,16,18,16,18,15,16,16,14,17,14
M12,15,16,18,16,14,19,19,17,17,17,15,17
M13,17,18,19,15,17,17,17,19,18,18,18,18
M14,19,19,17,19,15,16,18,18,19,19,19,19
