,ranker 1,ranker 2,ranker 3,ranker 4,ranker 5,ranker 6,ranker 7,ranker 8,ranker 9,ranker 10,ranker 11,ranker 12
W01,0,2,4,0,1,5,1,4,7,1,2,2
W02,1,4,1,3,3,2,2,0,0,6,3,8
W03,5,0,0,6,2,0,3,1,3,2,0,0
W04,4,8,3,1,4,4,0,9,1,3,1,4
W05,8,6,5,4,6,6,4,2,5,4,5,1
W06,3,1,6,7,7,1,6,7,2,7,9,7
M01,19,3,10,8,0,7,9,6,6,17,7,6
M02,11,12,2,2,8,10,14,3,4,8,10,11
M03,6,7,7,12,5,13,7,11,8,10,8,3
M04,7,10,11,10,12,16,5,10,10,9,4,5
M05,2,5,8,18,10,15,12,14,19,15,11,9
M06,10,14,12,5,13,11,8,5,15,11,15,10
M07,9,9,13,13,9,8,10,8,11,16,6,13
M08,12,13,17,11,14,12,16,18,9,0,12,12
M09,16,11,9,9,18,17,15,12,14,5,14,14
M10,15,18,14,15,16,18,11,15,12,12,13,18
M11,13,15,18,14,15,9,17,17,13,19,17,17
M12,18,19,16,19,19,3,19,13,16,13,16,16
M13,14,16,15,17,17,14,13,19,17,18,19,15
M14,17,17,19,16,11,19,18,16,18,14,18,19
