,ranker 1,ranker 2,ranker 3,ranker 4,ranker 5,ranker 6,ranker 7,ranker 8,ranker 9,ranker 10,ranker 11,ranker 12
W01,7,0,0,1,1,0,6,1,1,0,0,6
W02,0,7,1,0,0,6,1,3,0,3,6,4
W03,3,3,8,3,6,3,0,7,3,1,7,0
W04,1,1,3,2,2,7,2,0,6,7,3,1
W05,8,6,11,9,3,8,4,6,7,14,5,8
W06,5,4,4,6,7,4,5,8,8,2,1,9
M01,2,12,2,7,8,5,8,11,2,8,2,10
M02,6,19,5,11,10,9,3,2,16,10,11,12
M03,14,2,6,10,12,10,7,4,5,12,8,16
M04,9,5,9,5,15,1,9,5,11,4,4,14
M05,10,8,7,15,9,2,10,12,4,5,9,3
M06,12,10,12,8,11,14,12,9,10,9,13,7
M07,4,9,10,4,14,11,14,10,14,6,12,2
M08,13,13,14,12,4,15,13,17,12,11,16,5
M09,11,11,18,13,13,13,11,13,13,18,18,17
M10,15,15,15,16,5,18,17,14,17,15,14,11
M11,16,14,13,18,18,12,18,15,9,13,10,15
M12,17,18,16,14,16,17,15,16,19,19,15,18
M13,18,16,19,17,17,16,19,19,15,16,17,19
M14,19,17,17,19,19,19,16,18,18,17,19,13
