,ranker 1,ranker 2,ranker 3,ranker 4,ranker 5,ranker 6,ranker 7,ranker 8,ranker 9,ranker 10,ranker 11,ranker 12
W01,4,0,0,7,0,0,4,0,4,6,7,0
W02,0,4,6,0,6,4,6,8,6,0,0,7
W03,8,6,4,4,7,6,0,4,7,7,6,6
W04,6,7,8,6,2,7,7,6,8,4,4,4
W05,2,2,11,1,8,8,8,1,9,9,8,1
W06,7,3,3,8,3,3,9,7,2,2,9,2
M01,9,8,7,9,4,1,3,10,0,8,1,8
M02,10,9,9,2,9,9,5,9,3,5,3,9
M03,5,10,1,10,1,2,2,2,1,1,5,5
M04,3,1,10,12,5,5,11,3,5,3,12,3
M05,12,5,2,3,10,11,10,14,10,11,2,10
M06,1,12,5,5,12,12,1,11,14,12,11,12
M07,13,15,12,14,11,15,12,5,12,10,13,11
M08,16,11,16,11,14,16,15,12,16,14,14,15
M09,11,13,14,16,13,17,13,13,11,13,10,13
M10,15,14,13,15,15,14,14,15,13,15,18,19
M11,14,16,15,17,16,10,16,16,15,16,17,16
M12,18,19,17,13,18,18,17,17,17,18,15,14
M13,17,17,18,18,17,13,18,19,18,17,16,17
M14,19,18,19,19,19,19,19,18,19,19,19,18
