,ranker 1,ranker 2,ranker 3,ranker 4,ranker 5,ranker 6,ranker 7,ranker 8,ranker 9,ranker 10,ranker 11,ranker 12
W01,7,0,0,0,0,7,4,7,0,11,0,4
W02,0,4,4,4,4,0,0,4,4,0,4,0
W03,11,11,7,7,7,4,7,3,7,4,7,7
W04,4,14,11,14,11,11,11,11,11,7,11,11
W05,14,16,14,11,14,14,14,0,16,16,1,14
W06,1,5,1,16,16,16,16,2,14,14,14,2
M01,16,2,16,1,1,1,1,14,1,1,5,16
M02,6,3,3,3,2,2,3,16,6,2,2,8
M03,3,7,5,5,3,3,5,1,3,3,9,5
M04,2,1,2,8,5,5,9,5,2,5,3,1
M05,8,6,13,12,8,9,2,9,8,6,13,3
M06,9,9,6,2,9,8,6,6,5,10,10,12
M07,5,8,9,6,6,6,8,8,9,12,6,6
M08,10,10,10,10,12,15,10,12,15,13,16,10
M09,18,12,8,9,13,12,12,13,10,8,8,13
M10,12,13,15,13,10,13,18,17,13,9,15,9
M11,15,17,12,17,15,17,17,18,12,15,12,15
M12,13,15,18,18,17,10,13,10,17,17,17,19
M13,17,18,17,15,18,18,15,15,19,18,19,17
M14,19,19,19,19,19,19,19,19,18,19,18,18
