,ranker 1,ranker 2,ranker 3,ranker 4,ranker 5,ranker 6,ranker 7,ranker 8,ranker 9,ranker 10,ranker 11,ranker 12
W01,2,1,2,0,1,0,1,0,0,0,0,0
W02,3,0,0,1,0,1,0,2,1,1,3,2
W03,0,4,1,3,2,3,3,1,2,3,2,1
W04,1,2,5,2,5,4,2,3,3,2,1,3
W05,4,3,3,4,6,2,4,4,8,6,7,4
W06,6,5,6,5,3,7,6,5,5,8,4,5
M01,5,6,4,6,4,5,5,6,4,4,5,6
M02,7,7,7,7,8,6,7,7,6,5,6,7
M03,8,8,8,8,7,9,9,8,9,9,8,9
M04,9,9,9,9,10,8,8,12,13,7,9,11
M05,10,10,12,12,9,10,10,10,10,10,11,8
M06,11,12,11,10,11,12,11,11,7,11,12,12
M07,14,11,10,13,12,13,12,9,14,12,13,10
M08,13,13,13,14,15,11,13,13,12,13,10,13
M09,12,14,15,11,14,14,15,14,15,15,14,18
M10,16,15,14,15,13,15,14,16,16,14,16,15
M11,15,16,16,16,16,18,16,15,11,16,15,14
M12,18,17,18,18,17,16,17,17,18,17,17,16
M13,17,18,17,17,19,17,18,19,17,18,18,17
M14,19,19,19,19,18,19,19,18,19,19,19,19
