,fairness_rankers@10,fairness_rankers@20,fairness_rankers@50,exposure_rankers,R_par_rankers
ranker 1,-26.19047619047619,-9.523809523809526,23.809523809523803,-0.21330346065280234,0.6904761904761905
ranker 2,-26.19047619047619,-9.523809523809526,23.809523809523803,-0.21314006708833663,0.5952380952380952
ranker 3,-42.857142857142854,-26.19047619047619,23.809523809523803,-0.038722251609031255,0.42857142857142855
ranker 4,-26.19047619047619,-9.523809523809526,40.47619047619049,-0.23275466552126697,0.8571428571428571
ranker 5,-26.19047619047619,-9.523809523809526,23.809523809523803,-0.2197222177795212,0.7857142857142857
ranker 6,-42.857142857142854,-26.19047619047619,7.142857142857146,-0.01473987325777859,0.5
ranker 7,-26.19047619047619,-26.19047619047619,-9.523809523809526,-0.1267476514034538,0.4523809523809524
ranker 8,-26.19047619047619,-9.523809523809526,23.809523809523803,-0.21227666495156058,0.7142857142857143
ranker 9,-42.857142857142854,-26.19047619047619,-9.523809523809526,-0.013251700599831051,0.2619047619047619
ranker 10,-26.19047619047619,-26.19047619047619,23.809523809523803,-0.18003967809698146,0.7380952380952381
ranker 11,-26.19047619047619,-9.523809523809526,23.809523809523803,-0.21048779248193314,0.7380952380952381
ranker 12,-26.19047619047619,-9.523809523809526,23.809523809523803,-0.1824828685623659,0.5714285714285714
