,EPIK,EPIRA+Kemeny,EPIRA+Copeland,EPIRA+Copeland_noWiG,EPIRA+Schulze,EPIRA+Borda,EPIRA+Maximin
W01,5,5,5,3,5,4,3
W02,7,7,7,7,6,6,6
W03,4,4,3,5,3,3,4
W04,1,2,2,4,2,2,2
W05,12,11,9,9,10,11,7
W06,2,3,4,2,4,5,5
M01,6,6,6,6,8,1,0
M02,9,9,8,8,1,8,8
M03,3,1,0,0,0,0,1
M04,0,0,1,1,7,7,9
M05,13,12,12,12,12,12,13
M06,11,10,11,11,11,9,10
M07,15,14,13,13,13,13,11
M08,8,8,10,10,9,10,12
M09,14,13,14,14,14,15,16
M10,17,18,17,17,16,14,14
M11,19,17,18,18,15,16,15
M12,18,15,16,16,18,18,17
M13,16,16,15,15,17,17,18
M14,10,19,19,19,19,19,19
