,bestRankAggregated,borda_aggregation,exponential_enhanced_borda,exponential_weighting,highest_rank,lowest_rank,mc4_aggregator,robust_aggregation,round_robin,stability_enhanced_borda,stability_selection,MC1Fair,MC2Fair,MC2,MC3Fair,MC3
M01,6,7,8,8,13,10,8,9,13,5,5,3,4,8,2,8
M02,10,9,9,10,17,7,9,10,18,9,9,8,3,9,4,9
M03,3,5,5,5,14,5,5,8,10,6,6,1,1,5,1,5
M04,5,8,7,7,8,9,7,12,12,7,7,7,2,7,3,7
M05,9,13,13,13,9,15,13,14,11,10,10,10,11,13,12,13
M06,12,10,11,12,15,8,11,11,17,11,11,6,10,11,6,11
M07,8,14,14,14,10,13,14,15,8,14,13,5,12,14,11,14
M08,2,11,10,9,7,11,10,7,7,13,14,2,9,10,5,10
M09,15,16,16,17,11,16,15,16,4,17,16,16,14,15,17,17
M10,16,15,15,15,12,14,16,13,14,16,17,9,15,16,15,15
M11,19,17,17,16,16,17,18,17,16,15,15,4,18,19,14,16
M12,18,19,19,19,19,18,19,18,19,19,18,19,17,18,19,19
M13,13,18,18,18,18,19,17,19,15,18,19,18,16,17,18,18
M14,20,20,20,20,20,20,20,20,20,20,20,20,19,20,20,20
W01,7,3,3,3,1,3,4,1,3,3,2,13,8,4,9,3
W02,17,6,6,6,2,6,6,2,5,8,8,15,13,6,13,6
W03,4,2,2,2,3,1,2,3,1,1,1,11,6,2,8,2
W04,1,1,1,1,4,4,1,4,9,2,3,14,5,1,7,1
W05,14,12,12,11,5,12,12,5,6,12,12,17,20,12,16,12
W06,11,4,4,4,6,2,3,6,2,4,4,12,7,3,10,4
