,fairness_rankers@10,fairness_rankers@20,fairness_rankers@50,exposure_rankers,R_par_rankers
ranker 1,-42.857142857142854,-42.857142857142854,-9.523809523809526,0.06694880507208265,0.09523809523809523
ranker 2,-26.19047619047619,-26.19047619047619,23.809523809523803,-0.16836209953863132,0.6190476190476191
ranker 3,-26.19047619047619,-26.19047619047619,7.142857142857146,-0.1627604744263409,0.5476190476190477
ranker 4,-26.19047619047619,-9.523809523809526,7.142857142857146,-0.1756873089070006,0.38095238095238093
ranker 5,-26.19047619047619,-26.19047619047619,-9.523809523809526,-0.12131201507051015,0.16666666666666666
ranker 6,-26.19047619047619,-26.19047619047619,-26.19047619047619,-0.07826990350382507,0.16666666666666666
ranker 7,-26.19047619047619,-9.523809523809526,40.47619047619049,-0.23655169356431635,0.8571428571428571
ranker 8,-26.19047619047619,-9.523809523809526,7.142857142857146,-0.19411745623925195,0.5238095238095238
ranker 9,-26.19047619047619,-26.19047619047619,-26.19047619047619,-0.08630241014993628,0.023809523809523808
ranker 10,-42.857142857142854,-26.19047619047619,-9.523809523809526,0.0020461496879496943,0.047619047619047616
ranker 11,-26.19047619047619,-9.523809523809526,23.809523809523803,-0.2091363048376635,0.8095238095238095
ranker 12,-26.19047619047619,-26.19047619047619,7.142857142857146,-0.12218107554546659,0.23809523809523808
