,bestRankAggregated,borda_aggregation,exponential_enhanced_borda,exponential_weighting,highest_rank,lowest_rank,mc4_aggregator,robust_aggregation,round_robin,stability_enhanced_borda,stability_selection,MC1,MC2Fair,MC2,MC3Fair,MC3
M01,3,9,10,10,5,6,10,5,5,9,9,3,6,10,4,10
M02,7,12,12,12,11,9,12,14,9,10,10,5,11,12,6,12
M03,6,2,2,2,6,12,2,6,2,2,2,12,1,2,1,2
M04,12,14,14,15,14,13,13,16,18,13,13,14,13,13,14,14
M05,5,11,11,7,12,10,9,12,14,12,11,15,4,9,3,9
M06,1,8,6,6,7,7,8,7,12,11,12,2,2,7,2,6
M07,16,13,13,13,8,14,14,8,1,16,16,10,14,14,12,13
M08,10,10,9,8,9,8,11,9,7,7,7,4,8,11,5,11
M09,9,15,16,16,16,15,16,17,19,14,14,9,16,16,16,16
M10,19,17,18,18,17,16,15,15,16,15,15,16,15,15,17,18
M11,18,18,17,17,18,17,17,18,11,18,17,7,17,17,18,17
M12,13,16,15,14,13,18,18,13,13,17,18,6,18,18,15,15
M13,15,19,19,19,15,19,20,19,17,19,19,19,20,20,19,19
M14,20,20,20,20,20,20,19,20,20,20,20,20,19,19,20,20
W01,8,1,1,1,1,1,1,1,3,1,1,1,3,1,7,1
W02,14,6,7,9,2,4,6,2,6,6,3,18,10,8,11,7
W03,2,3,4,4,3,2,3,3,10,3,4,8,7,4,8,3
W04,17,7,8,11,19,11,7,11,15,8,8,17,12,6,13,8
W05,4,4,3,3,10,3,5,10,4,4,5,11,9,5,9,4
W06,11,5,5,5,4,5,4,4,8,5,6,13,5,3,10,5
