,EPIK,EPIRA+Kemeny,EPIRA+Copeland,EPIRA+Copeland_noWiG,EPIRA+Schulze,EPIRA+Borda,EPIRA+Maximin
W01,4,2,3,6,2,2,2
W02,3,3,2,4,3,3,3
W03,8,8,7,7,7,7,6
W04,1,4,5,3,4,4,4
W05,6,6,6,5,6,6,7
W06,5,5,4,2,5,5,5
M01,9,9,9,9,10,9,8
M02,7,7,8,8,11,10,10
M03,10,11,11,11,9,11,0
M04,11,13,12,12,8,8,1
M05,2,0,0,0,0,0,9
M06,0,1,1,1,1,1,11
M07,14,14,14,14,14,14,13
M08,12,10,10,10,12,12,12
M09,13,12,13,13,13,13,14
M10,15,17,17,17,17,17,16
M11,17,16,16,16,15,15,15
M12,18,18,18,18,18,16,17
M13,16,15,15,15,16,18,18
M14,19,19,19,19,19,19,19
