,bestRankAggregated,borda_aggregation,exponential_enhanced_borda,exponential_weighting,highest_rank,lowest_rank,mc4_aggregator,robust_aggregation,round_robin,stability_enhanced_borda,stability_selection,MC1Fair,MC2Fair,MC2,MC3Fair,MC3
M01,16,10,11,10,7,8,12,7,6,11,10,7,4,11,5,10
M02,13,11,10,9,9,9,9,12,13,12,11,8,3,8,6,12
M03,3,12,12,12,12,10,11,13,9,13,13,2,7,12,4,11
M04,5,9,8,7,10,12,7,11,8,10,12,1,11,10,2,8
M05,8,5,5,6,11,11,6,9,12,3,2,3,1,6,1,5
M06,6,7,9,11,13,13,8,10,10,6,6,6,2,7,3,9
M07,9,15,15,15,14,17,15,17,16,15,15,11,15,15,15,15
M08,1,13,13,13,8,2,13,8,11,14,14,10,9,13,7,13
M09,12,14,14,14,17,14,14,14,15,7,7,9,13,14,12,14
M10,19,18,18,19,20,15,16,15,17,18,18,18,16,18,18,18
M11,15,16,16,16,15,16,17,16,14,16,16,5,18,17,16,16
M12,10,17,17,17,16,18,18,18,18,17,17,17,19,19,17,17
M13,18,19,19,18,18,19,17,19,19,19,19,19,17,16,19,19
M14,20,20,20,20,19,20,19,20,20,20,20,20,20,20,20,20
W01,7,1,1,1,1,3,1,1,1,1,1,12,5,1,8,1
W02,11,2,2,2,2,1,2,2,2,2,3,4,6,2,9,2
W03,14,8,7,8,3,4,10,3,4,9,8,16,14,9,14,7
W04,2,3,3,3,4,5,4,4,3,4,4,15,10,3,11,3
W05,17,6,6,5,5,6,5,5,5,8,9,13,12,5,13,6
W06,4,4,4,4,6,7,3,6,7,5,5,14,8,4,10,4
