,EPIK,EPIRA+Kemeny,EPIRA+Copeland,EPIRA+Copeland_noWiG,EPIRA+Schulze,EPIRA+Borda,EPIRA+Maximin
W01,2,3,3,2,3,3,3
W02,4,5,4,3,6,4,9
W03,10,10,10,10,10,9,10
W04,6,6,6,6,5,5,5
W05,5,2,1,4,1,1,0
W06,0,1,2,1,2,2,2
M01,9,7,9,9,9,10,11
M02,1,4,5,5,0,0,1
M03,3,0,0,0,4,6,4
M04,8,9,7,7,7,8,6
M05,7,8,8,8,8,7,7
M06,12,12,12,12,11,11,8
M07,13,15,15,15,13,13,15
M08,11,11,11,11,12,12,12
M09,15,14,14,14,15,15,16
M10,14,13,13,13,14,14,13
M11,16,16,16,16,16,16,17
M12,17,17,17,17,17,17,14
M13,18,18,18,18,18,18,18
M14,19,19,19,19,19,19,19
