,bestRankAggregated,borda_aggregation,exponential_enhanced_borda,exponential_weighting,highest_rank,lowest_rank,mc4_aggregator,robust_aggregation,round_robin,stability_enhanced_borda,stability_selection,MC1Fair,MC2Fair,MC2,MC3Fair,MC3
M01,8,11,11,12,10,5,10,10,17,11,11,4,7,10,6,11
M02,6,4,4,4,6,8,4,6,8,8,8,2,1,4,1,4
M03,3,7,7,5,11,12,6,12,14,6,6,9,2,6,2,6
M04,2,9,9,9,12,10,8,13,2,9,9,3,5,8,4,9
M05,10,8,8,8,7,9,9,7,11,7,7,1,6,9,3,8
M06,5,12,12,10,8,15,12,8,10,13,13,5,9,12,5,12
M07,16,14,15,15,16,16,14,18,13,16,16,17,13,16,15,15
M08,12,13,13,13,17,11,13,14,15,12,12,7,10,13,10,13
M09,9,16,16,17,19,17,15,19,18,15,14,19,15,14,17,16
M10,13,15,14,14,13,13,15,15,9,14,15,6,14,15,14,14
M11,19,17,17,16,18,14,16,16,19,17,17,10,16,17,16,17
M12,15,18,18,18,9,18,17,9,7,18,18,8,17,18,18,18
M13,18,19,19,19,14,19,18,17,12,19,19,16,18,19,19,19
M14,20,20,20,20,20,20,19,20,20,20,20,20,20,20,20,20
W01,11,3,3,3,1,1,3,1,4,1,1,12,4,3,9,3
W02,7,5,5,6,2,3,5,2,5,4,2,18,11,5,11,5
W03,14,10,10,11,15,6,11,11,16,10,10,13,19,11,13,10
W04,4,6,6,7,3,4,7,3,6,5,3,15,12,7,12,7
W05,17,1,1,1,4,2,1,4,3,2,4,14,3,1,7,1
W06,1,2,2,2,5,7,2,5,1,3,5,11,8,2,8,2
