,fairness_aggregation@10,fairness_aggregation@20,fairness_aggregation@50,exposure_aggregation,R_par_results,kemeny_distance,consensus accuracy,topKparity
bestRankAggregated,-26.19047619047619,-26.19047619047619,-9.523809523809526,-0.11404752553575603,0.21428571428571427,0.33596491228070174,0.5578947368421052,"[False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False]"
borda_aggregation,-26.19047619047619,-9.523809523809526,40.47619047619049,-0.22676205868146485,0.8571428571428571,0.24649122807017543,0.5526315789473685,"[False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False]"
exponential_enhanced_borda,-26.19047619047619,-9.523809523809526,40.47619047619049,-0.22676205868146485,0.8571428571428571,0.24649122807017543,0.5552631578947368,"[False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False]"
exponential_weighting,-26.19047619047619,-9.523809523809526,23.809523809523803,-0.21592518973647176,0.7857142857142857,0.24824561403508763,0.4789473684210526,"[False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False]"
highest_rank,-26.19047619047619,-9.523809523809526,40.47619047619049,-0.2331447304940722,0.7857142857142857,0.31228070175438605,0.5236842105263158,"[False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False]"
lowest_rank,-26.19047619047619,-9.523809523809526,40.47619047619049,-0.24189888238308083,0.9523809523809523,0.27280701754385966,0.41403508771929826,"[False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False]"
mc4_aggregator,-26.19047619047619,-9.523809523809526,23.809523809523803,-0.22118401116810307,0.8095238095238095,0.24473684210526314,0.5337719298245615,"[False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False]"
robust_aggregation,-26.19047619047619,-9.523809523809526,40.47619047619049,-0.23801348695289823,0.8809523809523809,0.3026315789473684,0.4850877192982456,"[False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False]"
round_robin,-26.19047619047619,-26.19047619047619,40.47619047619049,-0.17960851586564922,0.6666666666666666,0.34298245614035094,0.42894736842105263,"[False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False]"
stability_enhanced_borda,-26.19047619047619,-9.523809523809526,40.47619047619049,-0.23971215098675147,0.9047619047619048,0.2517543859649123,0.5578947368421052,"[False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False]"
stability_selection,-26.19047619047619,-9.523809523809526,40.47619047619049,-0.23971215098675147,0.9047619047619048,0.25789473684210534,0.5491228070175439,"[False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False]"
MC1Fair,-42.857142857142854,-42.857142857142854,-42.857142857142854,0.11558883264440542,0.47619047619047616,0.4280701754385965,0.5719298245614035,"[False, False, False, False, False, False, False, False, False, False, False, True, False, False, False, False, False, False, False]"
MC2Fair,-42.857142857142854,-42.857142857142854,-9.523809523809526,0.0339803919165485,0.14285714285714285,0.3043859649122807,0.5271929824561403,"[False, False, True, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False]"
MC2,-26.19047619047619,-9.523809523809526,23.809523809523803,-0.22118401116810307,0.8095238095238095,0.24736842105263154,0.5166666666666667,"[False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False]"
MC3Fair,-42.857142857142854,-42.857142857142854,-42.857142857142854,0.08053503425844385,0.07142857142857142,0.3026315789473684,0.506140350877193,"[False, False, False, False, False, False, False, True, False, False, False, False, False, False, False, False, False, False, False]"
MC3,-26.19047619047619,-9.523809523809526,23.809523809523803,-0.22288267520195632,0.8333333333333334,0.24649122807017534,0.5684210526315789,"[False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False]"
