,EPIK,EPIRA+Kemeny,EPIRA+Copeland,EPIRA+Copeland_noWiG,EPIRA+Schulze,EPIRA+Borda,EPIRA+Maximin
W01,1,1,1,6,1,1,1
W02,5,3,3,2,3,3,4
W03,2,2,2,1,2,2,2
W04,6,6,6,5,6,5,5
W05,3,4,4,3,4,4,3
W06,4,5,5,4,5,6,6
M01,7,0,0,0,0,0,0
M02,8,7,7,7,7,7,7
M03,9,9,9,9,8,8,8
M04,10,8,8,8,9,9,9
M05,11,10,10,10,10,10,10
M06,0,11,11,11,11,11,11
M07,12,12,12,12,12,12,12
M08,14,14,14,14,14,14,13
M09,16,15,15,15,15,15,14
M10,13,13,13,13,13,13,15
M11,15,16,16,16,16,16,16
M12,17,17,17,17,17,17,17
M13,18,18,18,18,18,18,18
M14,19,19,19,19,19,19,19
