,fairness_aggregation@10,fairness_aggregation@20,fairness_aggregation@50,exposure_aggregation,R_par_results,kemeny_distance,consensus accuracy,topKparity
bestRankAggregated,-26.19047619047619,-26.19047619047619,-9.523809523809526,-0.11404752553575603,0.21428571428571427,0.2679824561403508,0.6013157894736842,"[False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False]"
borda_aggregation,-26.19047619047619,-9.523809523809526,57.142857142857146,-0.2510370872942207,1.0,0.0986842105263158,0.43464912280701756,"[False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False]"
exponential_enhanced_borda,-26.19047619047619,-9.523809523809526,57.142857142857146,-0.2510370872942207,1.0,0.09780701754385966,0.43464912280701756,"[False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False]"
exponential_weighting,-26.19047619047619,-9.523809523809526,57.142857142857146,-0.2510370872942207,1.0,0.09868421052631578,0.431140350877193,"[False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False]"
highest_rank,-26.19047619047619,-9.523809523809526,57.142857142857146,-0.2510370872942207,1.0,0.10043859649122806,0.431140350877193,"[False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False]"
lowest_rank,-26.19047619047619,-9.523809523809526,57.142857142857146,-0.2510370872942207,1.0,0.1144736842105263,0.4214912280701754,"[False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False]"
mc4_aggregator,-26.19047619047619,-9.523809523809526,40.47619047619049,-0.2510370872942207,1.0,0.09254385964912282,0.4600877192982456,"[False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False]"
robust_aggregation,-26.19047619047619,-9.523809523809526,57.142857142857146,-0.2510370872942207,1.0,0.10307017543859649,0.43201754385964913,"[False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False]"
round_robin,-26.19047619047619,-9.523809523809526,40.47619047619049,-0.24414590975823736,0.9523809523809523,0.11710526315789473,0.4504385964912281,"[False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False]"
stability_enhanced_borda,-26.19047619047619,-9.523809523809526,57.142857142857146,-0.2510370872942207,1.0,0.10043859649122806,0.4355263157894737,"[False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False]"
stability_selection,-26.19047619047619,-9.523809523809526,57.142857142857146,-0.2510370872942207,1.0,0.10307017543859648,0.4355263157894737,"[False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False]"
MC1Fair,-42.857142857142854,-42.857142857142854,-26.19047619047619,0.07221942230122178,0.16666666666666666,0.2574561403508772,0.6399122807017544,"[False, False, False, False, False, False, True, False, False, False, False, False, False, False, False, False, False, False, False]"
MC1,-26.19047619047619,-9.523809523809526,57.142857142857146,-0.2510370872942207,1.0,0.10394736842105264,0.43464912280701756,"[False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False]"
MC2Fair,-42.857142857142854,-42.857142857142854,-26.19047619047619,0.05781638400777672,0.2857142857142857,0.22587719298245615,0.6153508771929824,"[False, False, False, False, True, True, False, False, False, False, False, False, False, False, False, False, False, False, False]"
MC2,-26.19047619047619,-9.523809523809526,57.142857142857146,-0.2510370872942207,1.0,0.09780701754385966,0.43464912280701756,"[False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False]"
MC3Fair,-42.857142857142854,-42.857142857142854,7.142857142857146,0.023489720436602524,0.5238095238095238,0.17938596491228068,0.5425438596491228,"[False, False, False, True, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False]"
MC3,-26.19047619047619,-9.523809523809526,57.142857142857146,-0.2510370872942207,1.0,0.10219298245614038,0.4293859649122807,"[False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False]"
