,bestRankAggregated,borda_aggregation,exponential_enhanced_borda,exponential_weighting,highest_rank,lowest_rank,mc4_aggregator,robust_aggregation,round_robin,stability_enhanced_borda,stability_selection,MC1Fair,MC2Fair,MC2,MC3Fair,MC3
M01,2,9,9,9,8,7,8,8,3,9,7,3,6,9,3,9
M02,3,4,4,4,6,9,4,6,5,8,9,1,1,4,1,4
M03,5,7,7,7,9,8,6,9,6,7,8,2,2,6,2,7
M04,9,10,10,10,10,10,10,10,7,10,10,4,7,11,5,10
M05,6,11,11,11,11,13,9,13,11,11,11,5,8,10,8,11
M06,8,12,12,12,12,11,11,11,15,12,12,6,9,12,12,12
M07,13,13,13,14,15,12,12,12,14,15,15,15,10,13,14,15
M08,15,14,14,13,13,14,13,14,13,13,13,14,11,14,13,13
M09,16,15,15,15,14,15,14,15,18,14,14,13,16,17,15,14
M10,10,17,17,17,18,17,14,18,16,17,17,17,17,15,17,17
M11,12,16,16,16,16,18,14,17,12,16,16,18,15,16,16,16
M12,19,19,19,18,17,19,16,19,17,18,18,20,19,19,19,19
M13,18,18,18,19,19,16,15,16,20,19,19,16,18,18,18,18
M14,20,20,20,20,20,20,17,20,19,20,20,19,20,20,20,20
W01,1,1,1,1,1,1,1,1,1,1,1,7,3,1,4,1
W02,7,2,2,2,2,2,2,2,4,2,2,8,4,2,7,3
W03,4,3,3,3,3,3,3,3,2,3,3,9,5,3,6,2
W04,11,8,8,8,4,6,7,7,9,6,4,12,13,7,11,8
W05,14,6,6,6,5,4,7,4,8,5,5,10,14,8,10,6
W06,17,5,5,5,7,5,5,5,10,4,6,11,12,5,9,5
