,fairness_rankers@10,fairness_rankers@20,fairness_rankers@50,exposure_rankers,R_par_rankers
ranker 1,-26.19047619047619,-9.523809523809526,7.142857142857146,-0.19999809992652354,0.7619047619047619
ranker 2,-26.19047619047619,-9.523809523809526,23.809523809523803,-0.22957030759255884,0.8571428571428571
ranker 3,-26.19047619047619,-9.523809523809526,23.809523809523803,-0.22957030759255884,0.8571428571428571
ranker 4,-26.19047619047619,-9.523809523809526,23.809523809523803,-0.23258210164903348,0.8809523809523809
ranker 5,-26.19047619047619,-9.523809523809526,23.809523809523803,-0.23500770484709746,0.9047619047619048
ranker 6,-26.19047619047619,-9.523809523809526,23.809523809523803,-0.22489083077537828,0.8571428571428571
ranker 7,-26.19047619047619,-9.523809523809526,23.809523809523803,-0.23500770484709746,0.9047619047619048
ranker 8,-26.19047619047619,-9.523809523809526,23.809523809523803,-0.21457370209220214,0.8571428571428571
ranker 9,-26.19047619047619,-9.523809523809526,7.142857142857146,-0.19999809992652354,0.7619047619047619
ranker 10,-26.19047619047619,-9.523809523809526,7.142857142857146,-0.19999809992652354,0.7619047619047619
ranker 11,-26.19047619047619,-9.523809523809526,23.809523809523803,-0.21457370209220214,0.8571428571428571
ranker 12,-26.19047619047619,-9.523809523809526,23.809523809523803,-0.23258210164903348,0.8809523809523809
