,fairness_rankers@10,fairness_rankers@20,fairness_rankers@50,exposure_rankers,R_par_rankers
ranker 1,-26.19047619047619,-26.19047619047619,7.142857142857146,-0.16536702125156877,0.7142857142857143
ranker 2,-26.19047619047619,-26.19047619047619,23.809523809523803,-0.18763389429090252,0.8333333333333334
ranker 3,-26.19047619047619,-26.19047619047619,7.142857142857146,-0.1450300731764076,0.5952380952380952
ranker 4,-26.19047619047619,-9.523809523809526,7.142857142857146,-0.1923068290528684,0.7380952380952381
ranker 5,-26.19047619047619,-26.19047619047619,7.142857142857146,-0.17305829212522394,0.7380952380952381
ranker 6,-26.19047619047619,-26.19047619047619,7.142857142857146,-0.1526242893703286,0.6904761904761905
ranker 7,-26.19047619047619,-26.19047619047619,-9.523809523809526,-0.1283492607575729,0.5476190476190477
ranker 8,-26.19047619047619,-9.523809523809526,7.142857142857146,-0.1923068290528684,0.7380952380952381
ranker 9,-42.857142857142854,-42.857142857142854,-9.523809523809526,0.01763816609134572,0.5
ranker 10,-26.19047619047619,-26.19047619047619,7.142857142857146,-0.16335886567814675,0.6904761904761905
ranker 11,-26.19047619047619,-26.19047619047619,-9.523809523809526,-0.1283492607575729,0.5476190476190477
ranker 12,-26.19047619047619,-9.523809523809526,23.809523809523803,-0.2273164339734422,0.8809523809523809
