,fairness_aggregation@10,fairness_aggregation@20,fairness_aggregation@50,exposure_aggregation,R_par_results,kemeny_distance,consensus accuracy,topKparity
bestRankAggregated,-26.19047619047619,-26.19047619047619,-9.523809523809526,-0.10087801231561483,0.11904761904761904,0.18596491228070175,0.637719298245614,"[False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False]"
borda_aggregation,-26.19047619047619,-9.523809523809526,-9.523809523809526,-0.15785461501989226,0.35714285714285715,0.17982456140350878,0.5105263157894737,"[False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False]"
exponential_enhanced_borda,-26.19047619047619,-9.523809523809526,-9.523809523809526,-0.15885926992132163,0.38095238095238093,0.18245614035087718,0.4543859649122807,"[False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False]"
exponential_weighting,-26.19047619047619,-9.523809523809526,-9.523809523809526,-0.15998580703485824,0.40476190476190477,0.18421052631578946,0.5008771929824561,"[False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False]"
highest_rank,-26.19047619047619,-9.523809523809526,23.809523809523803,-0.21826927179136257,0.7142857142857143,0.22719298245614036,0.4543859649122807,"[False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False]"
lowest_rank,-26.19047619047619,-26.19047619047619,7.142857142857146,-0.1390463137370289,0.5476190476190477,0.21666666666666665,0.4614035087719298,"[False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False]"
mc4_aggregator,-26.19047619047619,-26.19047619047619,-9.523809523809526,-0.15567526132401743,0.30952380952380953,0.1692982456140351,0.662719298245614,"[False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False]"
robust_aggregation,-26.19047619047619,-9.523809523809526,7.142857142857146,-0.19569043750623263,0.5714285714285714,0.20789473684210527,0.6289473684210526,"[False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False]"
round_robin,-26.19047619047619,-9.523809523809526,7.142857142857146,-0.1631615463794054,0.40476190476190477,0.22543859649122802,0.5780701754385965,"[False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False]"
stability_enhanced_borda,-26.19047619047619,-26.19047619047619,-9.523809523809526,-0.11084973557003713,0.19047619047619047,0.1912280701754386,0.4807017543859649,"[False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False]"
stability_selection,-26.19047619047619,-26.19047619047619,-9.523809523809526,-0.10938794218145526,0.16666666666666666,0.19385964912280704,0.5263157894736842,"[False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False]"
MC1Fair,-42.857142857142854,-42.857142857142854,-42.857142857142854,0.09011177910137042,0.047619047619047616,0.2394736842105263,0.6201754385964913,"[False, False, False, False, False, False, False, False, True, False, False, False, False, False, False, False, False, False, False]"
MC1,-26.19047619047619,-26.19047619047619,7.142857142857146,-0.12944147226345842,0.40476190476190477,0.20964912280701756,0.4605263157894737,"[False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False]"
MC2Fair,-26.19047619047619,-9.523809523809526,-9.523809523809526,-0.1271645055196196,0.2619047619047619,0.24736842105263157,0.5833333333333334,"[False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False]"
MC2,-26.19047619047619,-9.523809523809526,-9.523809523809526,-0.15567526132401743,0.30952380952380953,0.17192982456140352,0.5008771929824561,"[False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False]"
MC3Fair,-42.857142857142854,-42.857142857142854,-9.523809523809526,0.06764034449827905,0.11904761904761904,0.2026315789473684,0.5596491228070175,"[False, False, False, False, True, False, False, False, False, False, False, False, False, False, False, False, False, False, False]"
MC3,-26.19047619047619,-9.523809523809526,-9.523809523809526,-0.16168447106871153,0.42857142857142855,0.1868421052631579,0.5789473684210527,"[False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False]"
