,fairness_rankers@10,fairness_rankers@20,fairness_rankers@50,exposure_rankers,R_par_rankers
ranker 1,-26.19047619047619,-26.19047619047619,-9.523809523809526,-0.10894070965807773,0.09523809523809523
ranker 2,-42.857142857142854,-26.19047619047619,-26.19047619047619,0.04537600168463246,0.2619047619047619
ranker 3,-42.857142857142854,-26.19047619047619,-9.523809523809526,0.025005673672304884,0.0
ranker 4,-42.857142857142854,-26.19047619047619,-9.523809523809526,0.00831635517052709,0.14285714285714285
ranker 5,-26.19047619047619,-9.523809523809526,7.142857142857146,-0.17056630966411257,0.4523809523809524
ranker 6,-42.857142857142854,-42.857142857142854,-26.19047619047619,0.07277739496737137,0.35714285714285715
ranker 7,-42.857142857142854,-26.19047619047619,7.142857142857146,-0.030400069357321924,0.3333333333333333
ranker 8,-26.19047619047619,-26.19047619047619,23.809523809523803,-0.13477832607249235,0.3333333333333333
ranker 9,-26.19047619047619,-9.523809523809526,23.809523809523803,-0.20714105658057438,0.6428571428571429
ranker 10,-42.857142857142854,-42.857142857142854,-9.523809523809526,0.04192965701487672,0.14285714285714285
ranker 11,-42.857142857142854,-26.19047619047619,7.142857142857146,-0.027572813574792854,0.47619047619047616
ranker 12,-42.857142857142854,-26.19047619047619,-26.19047619047619,0.055101409893519526,0.40476190476190477
