,bestRankAggregated,borda_aggregation,exponential_enhanced_borda,exponential_weighting,highest_rank,lowest_rank,mc4_aggregator,robust_aggregation,round_robin,stability_enhanced_borda,stability_selection,MC1,MC2Fair,MC2,MC3Fair,MC3
M01,16,7,7,5,5,12,7,5,8,4,3,16,2,7,2,7
M02,15,12,12,12,12,13,8,16,18,12,12,5,4,8,5,11
M03,9,14,13,14,6,14,14,6,2,15,16,6,13,13,13,14
M04,8,9,9,9,13,15,9,13,17,7,4,14,8,9,4,9
M05,20,17,17,17,14,16,17,20,15,17,17,8,18,19,17,17
M06,6,18,18,19,19,4,18,14,16,18,18,2,17,17,18,18
M07,14,15,16,15,17,8,13,19,12,14,13,15,14,14,15,15
M08,13,13,14,16,15,9,15,18,13,13,14,10,15,15,14,13
M09,2,11,11,11,16,17,12,17,9,11,10,11,5,11,10,12
M10,5,8,8,8,7,18,11,7,5,6,5,19,10,10,7,8
M11,11,20,20,20,20,5,20,15,20,16,15,12,19,20,19,20
M12,10,10,10,10,8,19,10,8,3,10,11,13,11,12,6,10
M13,3,5,3,3,9,20,5,9,11,3,6,7,1,4,1,4
M14,19,16,15,13,10,10,16,10,6,19,19,9,16,16,16,16
W01,7,6,6,7,1,11,6,1,10,9,7,1,12,5,12,6
W02,17,4,5,4,2,2,4,2,1,8,8,20,6,6,11,5
W03,4,1,1,1,11,1,1,11,14,1,1,3,3,1,3,1
W04,1,2,2,2,3,6,3,3,4,5,9,4,9,2,9,2
W05,18,19,19,18,4,3,19,4,7,20,20,18,20,18,20,19
W06,12,3,4,6,18,7,2,12,19,2,2,17,7,3,8,3
