,fairness_aggregation@10,fairness_aggregation@20,fairness_aggregation@50,exposure_aggregation,R_par_results,kemeny_distance,consensus accuracy,topKparity
bestRankAggregated,-26.19047619047619,-26.19047619047619,-9.523809523809526,-0.10911235260926017,0.09523809523809523,0.4478070175438597,0.46096491228070174,"[False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False]"
borda_aggregation,-26.19047619047619,-9.523809523809526,40.47619047619049,-0.2247326627139331,0.6666666666666666,0.4083333333333334,0.46885964912280703,"[False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False]"
exponential_enhanced_borda,-26.19047619047619,-9.523809523809526,40.47619047619049,-0.20429865995903768,0.6190476190476191,0.41008771929824567,0.47149122807017546,"[False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False]"
exponential_weighting,-26.19047619047619,-9.523809523809526,23.809523809523803,-0.19584497675992102,0.5952380952380952,0.41271929824561404,0.46885964912280703,"[False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False]"
highest_rank,-26.19047619047619,-9.523809523809526,23.809523809523803,-0.21239358408463385,0.5714285714285714,0.4653508771929824,0.4644736842105263,"[False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False]"
lowest_rank,-26.19047619047619,-9.523809523809526,23.809523809523803,-0.21592518973647176,0.7857142857142857,0.4881578947368421,0.4881578947368421,"[False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False]"
mc4_aggregator,-26.19047619047619,-9.523809523809526,40.47619047619049,-0.2247326627139331,0.6666666666666666,0.41271929824561404,0.4583333333333333,"[False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False]"
robust_aggregation,-26.19047619047619,-9.523809523809526,23.809523809523803,-0.21826927179136257,0.7142857142857143,0.4557017543859649,0.4407894736842105,"[False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False]"
round_robin,-26.19047619047619,-26.19047619047619,-9.523809523809526,-0.11431518485388326,0.19047619047619047,0.4855263157894738,0.4776315789473684,"[False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False]"
stability_enhanced_borda,-26.19047619047619,-9.523809523809526,7.142857142857146,-0.17450975516522885,0.42857142857142855,0.4179824561403509,0.5144736842105263,"[False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False]"
stability_selection,-26.19047619047619,-9.523809523809526,-9.523809523809526,-0.165371550254089,0.38095238095238093,0.4276315789473684,0.5083333333333333,"[False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False]"
MC1,-26.19047619047619,-26.19047619047619,7.142857142857146,-0.1314934966380516,0.0,0.4986842105263158,0.47149122807017546,"[False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False]"
MC2Fair,-42.857142857142854,-42.857142857142854,-9.523809523809526,0.04084272477657702,0.14285714285714285,0.42850877192982456,0.5179824561403509,"[False, False, True, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False]"
MC2,-26.19047619047619,-9.523809523809526,40.47619047619049,-0.21772591355230103,0.6666666666666666,0.41184210526315795,0.4697368421052632,"[False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False]"
MC3Fair,-42.857142857142854,-42.857142857142854,-26.19047619047619,0.056878119174374187,0.0,0.4302631578947369,0.5258771929824562,"[False, False, True, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False]"
MC3,-26.19047619047619,-9.523809523809526,40.47619047619049,-0.2170413918402778,0.6428571428571429,0.41008771929824556,0.4793859649122807,"[False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False]"
