,fairness_aggregation@10,fairness_aggregation@20,fairness_aggregation@50,exposure_aggregation,R_par_results,kemeny_distance,consensus accuracy,topKparity
bestRankAggregated,-42.857142857142854,-42.857142857142854,-26.19047619047619,0.0684112996223184,0.0,0.4030701754385964,0.49429824561403507,"[False, False, False, True, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False]"
borda_aggregation,-42.857142857142854,-42.857142857142854,-26.19047619047619,0.07396631181446003,0.023809523809523808,0.3942982456140351,0.4583333333333333,"[False, False, False, False, True, True, False, False, False, False, False, False, False, False, False, False, False, False, False]"
exponential_enhanced_borda,-42.857142857142854,-42.857142857142854,-26.19047619047619,0.0700160200693837,0.07142857142857142,0.3942982456140351,0.481140350877193,"[False, False, False, True, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False]"
exponential_weighting,-42.857142857142854,-42.857142857142854,-9.523809523809526,0.05169524067478176,0.0,0.39692982456140347,0.46885964912280703,"[False, False, True, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False]"
highest_rank,-26.19047619047619,-9.523809523809526,23.809523809523803,-0.21107820815411882,0.5238095238095238,0.4600877192982456,0.5144736842105263,"[False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False]"
lowest_rank,-42.857142857142854,-42.857142857142854,-26.19047619047619,0.06435097649468621,0.23809523809523808,0.42412280701754385,0.49429824561403507,"[False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False]"
mc4_aggregator,-42.857142857142854,-42.857142857142854,-26.19047619047619,0.0845624746581739,0.11904761904761904,0.3969298245614035,0.4530701754385965,"[False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False]"
robust_aggregation,-26.19047619047619,-9.523809523809526,23.809523809523803,-0.21312939917868776,0.6190476190476191,0.45482456140350874,0.5513157894736842,"[False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False]"
round_robin,-26.19047619047619,-9.523809523809526,-9.523809523809526,-0.1505171339245817,0.19047619047619047,0.48289473684210527,0.5030701754385964,"[False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False]"
stability_enhanced_borda,-42.857142857142854,-42.857142857142854,-26.19047619047619,0.07911457356485793,0.07142857142857142,0.40043859649122804,0.49780701754385964,"[False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False]"
stability_selection,-42.857142857142854,-42.857142857142854,-9.523809523809526,0.06184629411373421,0.07142857142857142,0.41184210526315795,0.44956140350877194,"[False, False, False, False, True, False, False, False, False, False, False, False, False, False, False, False, False, False, False]"
MC1,-26.19047619047619,-26.19047619047619,7.142857142857146,-0.1314934966380516,0.0,0.5179824561403509,0.512719298245614,"[False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False]"
MC2Fair,-42.857142857142854,-42.857142857142854,-9.523809523809526,0.044783936266030944,0.35714285714285715,0.41096491228070176,0.4925438596491228,"[False, False, False, True, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False]"
MC2,-42.857142857142854,-42.857142857142854,-26.19047619047619,0.08291139259549768,0.047619047619047616,0.39429824561403515,0.46271929824561403,"[False, False, False, False, False, False, True, False, False, False, False, False, False, False, False, False, False, False, False]"
MC3Fair,-42.857142857142854,-42.857142857142854,-9.523809523809526,0.0658184674037808,0.09523809523809523,0.3942982456140351,0.46710526315789475,"[False, False, False, False, True, False, False, False, False, False, False, False, False, False, False, False, False, False, False]"
MC3,-42.857142857142854,-42.857142857142854,-26.19047619047619,0.07396631181446003,0.023809523809523808,0.39517543859649124,0.45921052631578946,"[False, False, False, False, True, True, False, False, False, False, False, False, False, False, False, False, False, False, False]"
