,bestRankAggregated,borda_aggregation,exponential_enhanced_borda,exponential_weighting,highest_rank,lowest_rank,mc4_aggregator,robust_aggregation,round_robin,stability_enhanced_borda,stability_selection,MC1Fair,MC1,MC2Fair,MC2,MC3Fair,MC3
M01,2,6,6,6,7,5,7,5,6,6,7,1,6,1,7,1,6
M02,3,8,8,8,8,8,8,8,8,8,8,2,8,2,8,2,8
M03,6,9,9,9,9,9,9,9,9,9,9,8,10,3,9,7,11
M04,5,10,10,10,10,12,10,12,10,10,10,11,11,4,10,8,10
M05,8,11,11,11,12,10,11,10,11,11,11,12,12,6,11,12,12
M06,9,12,12,12,11,11,12,11,12,13,13,7,9,11,12,11,9
M07,10,13,13,13,13,13,13,13,13,12,12,13,13,12,13,13,13
M08,12,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14
M09,15,15,15,15,15,16,15,16,17,15,15,16,16,15,15,15,16
M10,13,16,16,16,17,15,16,15,16,16,16,17,17,16,16,16,17
M11,16,17,17,17,16,17,17,17,15,17,17,15,15,17,17,17,15
M12,18,18,18,18,18,18,18,18,19,18,18,18,18,18,18,18,18
M13,19,19,19,19,19,19,19,19,18,19,19,19,19,19,19,19,19
M14,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20
W01,1,1,1,1,1,1,1,1,3,1,1,4,1,5,1,3,1
W02,4,2,2,2,2,2,2,2,1,2,2,3,2,7,2,4,2
W03,11,3,3,3,3,3,3,3,2,3,3,5,3,8,3,5,3
W04,7,4,4,4,4,4,4,4,4,4,4,6,4,9,4,6,4
W05,14,5,5,5,5,6,5,6,5,5,5,9,5,10,5,9,5
W06,17,7,7,7,6,7,6,7,7,7,6,10,7,13,6,10,7
