,EPIK,EPIRA+Kemeny,EPIRA+Copeland,EPIRA+Copeland_noWiG,EPIRA+Schulze,EPIRA+Borda,EPIRA+Maximin
W01,6,2,2,3,2,2,2
W02,2,3,3,4,3,3,3
W03,1,4,4,2,4,4,4
W04,4,5,5,5,5,5,5
W05,9,9,9,9,8,8,9
W06,12,7,7,7,7,7,6
M01,3,0,0,0,0,0,0
M02,0,1,1,1,1,6,1
M03,5,6,6,6,6,1,7
M04,8,8,8,8,9,9,8
M05,10,10,10,10,10,10,10
M06,7,11,11,11,11,11,11
M07,13,12,12,12,12,12,12
M08,11,13,13,13,13,13,13
M09,14,14,14,14,14,14,14
M10,15,15,15,15,15,15,15
M11,16,16,16,16,16,16,16
M12,17,17,17,17,17,17,17
M13,18,18,18,18,18,18,18
M14,19,19,19,19,19,19,19
