,bestRankAggregated,borda_aggregation,exponential_enhanced_borda,exponential_weighting,highest_rank,lowest_rank,mc4_aggregator,robust_aggregation,round_robin,stability_enhanced_borda,stability_selection,MC1Fair,MC2Fair,MC2,MC3Fair,MC3
M01,2,5,5,5,7,6,4,6,5,5,7,2,1,4,1,5
M02,5,7,7,7,8,7,6,7,8,7,8,3,2,6,2,6
M03,6,6,6,6,9,8,7,8,7,6,9,1,3,7,3,7
M04,3,10,10,10,10,10,10,10,11,10,10,4,7,10,4,10
M05,8,11,11,11,11,11,11,11,10,11,11,6,8,11,12,12
M06,10,12,12,12,12,12,12,12,13,12,12,5,9,12,11,11
M07,9,13,13,13,13,13,13,13,12,13,13,12,11,13,13,13
M08,12,14,14,14,14,15,14,15,15,14,14,14,12,14,14,14
M09,13,15,15,15,15,14,15,14,14,15,15,15,13,15,15,15
M10,15,16,16,16,16,17,16,17,17,16,16,16,14,16,16,16
M11,16,17,17,17,17,16,17,16,18,17,17,17,16,17,17,17
M12,18,18,18,18,18,18,18,18,16,18,18,19,17,18,18,18
M13,19,19,19,19,19,19,19,19,19,19,19,20,19,19,19,19
M14,20,20,20,20,20,20,20,20,20,20,20,18,20,20,20,20
W01,1,1,1,1,1,1,1,1,2,1,1,9,4,1,5,1
W02,4,2,2,2,2,3,2,2,1,2,2,10,5,2,6,2
W03,14,3,3,3,3,4,3,3,4,3,3,8,6,3,7,3
W04,7,4,4,4,4,2,5,4,3,4,4,7,10,5,8,4
W05,11,9,9,9,6,9,9,9,9,9,5,13,18,9,10,8
W06,17,8,8,8,5,5,8,5,6,8,6,11,15,8,9,9
