,bestRankAggregated,borda_aggregation,exponential_enhanced_borda,exponential_weighting,highest_rank,lowest_rank,mc4_aggregator,robust_aggregation,round_robin,stability_enhanced_borda,stability_selection,MC1Fair,MC2Fair,MC2,MC3Fair,MC3
M01,15,7,7,6,7,12,4,8,4,10,11,5,4,4,5,7
M02,2,4,3,2,8,13,2,5,6,7,9,4,2,2,3,4
M03,3,2,2,3,9,2,3,6,8,1,1,2,3,3,2,2
M04,5,3,4,4,11,1,5,4,7,2,2,1,5,6,1,3
M05,9,9,10,10,12,3,10,7,13,4,3,3,8,10,7,10
M06,6,8,8,9,10,15,8,9,9,6,4,6,6,8,6,8
M07,10,11,12,12,13,8,12,11,14,9,7,8,9,12,10,12
M08,8,13,14,14,15,9,13,13,15,11,10,12,10,13,12,13
M09,12,15,15,15,14,16,16,16,12,15,15,11,12,16,15,15
M10,13,16,16,16,16,14,15,15,17,16,16,16,13,15,16,16
M11,16,17,17,17,19,17,17,17,16,19,19,18,14,17,18,18
M12,19,18,18,18,17,18,18,18,19,17,17,17,15,18,17,17
M13,18,19,19,19,18,19,19,19,18,18,18,19,17,19,19,19
M14,20,20,20,20,20,20,19,20,20,20,20,20,16,20,20,20
W01,1,1,1,1,1,4,1,1,1,3,5,7,1,1,4,1
W02,11,5,5,5,2,5,6,2,5,8,8,9,7,5,8,5
W03,7,6,6,7,3,6,7,3,2,5,6,10,11,7,9,6
W04,14,12,11,11,4,7,11,10,11,14,14,15,19,11,13,11
W05,17,14,13,13,5,10,14,14,10,13,13,13,20,14,14,14
W06,4,10,9,8,6,11,9,12,3,12,12,14,18,9,11,9
