,fairness_rankers@10,fairness_rankers@20,fairness_rankers@50,exposure_rankers,R_par_rankers
ranker 1,-26.19047619047619,-26.19047619047619,-9.523809523809526,-0.10087801231561483,0.11904761904761904
ranker 2,-26.19047619047619,-26.19047619047619,7.142857142857146,-0.13172046142104982,0.38095238095238093
ranker 3,-26.19047619047619,-9.523809523809526,7.142857142857146,-0.17312524273637134,0.47619047619047616
ranker 4,-26.19047619047619,-9.523809523809526,23.809523809523803,-0.19101759953651984,0.6904761904761905
ranker 5,-26.19047619047619,-26.19047619047619,-9.523809523809526,-0.10087801231561483,0.11904761904761904
ranker 6,-26.19047619047619,-26.19047619047619,-9.523809523809526,-0.10087801231561483,0.11904761904761904
ranker 7,-26.19047619047619,-9.523809523809526,7.142857142857146,-0.17140300110358958,0.42857142857142855
ranker 8,-26.19047619047619,-26.19047619047619,7.142857142857146,-0.14446319330228996,0.40476190476190477
ranker 9,-26.19047619047619,-26.19047619047619,-9.523809523809526,-0.10087801231561483,0.11904761904761904
ranker 10,-26.19047619047619,-9.523809523809526,7.142857142857146,-0.17140300110358958,0.42857142857142855
ranker 11,-26.19047619047619,-9.523809523809526,7.142857142857146,-0.17312524273637134,0.47619047619047616
ranker 12,-26.19047619047619,-26.19047619047619,-9.523809523809526,-0.10087801231561483,0.11904761904761904
