,fairness_aggregation@10,fairness_aggregation@20,fairness_aggregation@50,exposure_aggregation,R_par_results,kemeny_distance,consensus accuracy,topKparity
bestRankAggregated,-42.857142857142854,-42.857142857142854,-26.19047619047619,0.06452390303567254,0.047619047619047616,0.1850877192982456,0.5728070175438597,"[False, False, False, True, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False]"
borda_aggregation,-42.857142857142854,-42.857142857142854,-26.19047619047619,0.0616134120508261,0.2857142857142857,0.14035087719298245,0.5342105263157895,"[False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False]"
exponential_enhanced_borda,-42.857142857142854,-42.857142857142854,-26.19047619047619,0.0616134120508261,0.2857142857142857,0.14210526315789473,0.519298245614035,"[False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False]"
exponential_weighting,-42.857142857142854,-42.857142857142854,-26.19047619047619,0.0616134120508261,0.2857142857142857,0.14385964912280702,0.5131578947368421,"[False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False]"
highest_rank,-26.19047619047619,-9.523809523809526,-9.523809523809526,-0.15254025420689765,0.3333333333333333,0.20438596491228075,0.5745614035087719,"[False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False]"
lowest_rank,-26.19047619047619,-26.19047619047619,7.142857142857146,-0.1396741970650421,0.6428571428571429,0.1912280701754386,0.5,"[False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False]"
mc4_aggregator,-42.857142857142854,-42.857142857142854,-26.19047619047619,0.06307520543940798,0.2619047619047619,0.13596491228070173,0.5385964912280702,"[False, False, False, False, True, False, False, False, False, False, False, False, False, False, False, False, False, False, False]"
robust_aggregation,-26.19047619047619,-9.523809523809526,-9.523809523809526,-0.16959064850842867,0.5476190476190477,0.1824561403508772,0.5728070175438597,"[False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False]"
round_robin,-42.857142857142854,-42.857142857142854,-9.523809523809526,0.03350299777337268,0.35714285714285715,0.16929824561403506,0.5640350877192982,"[False, False, True, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False]"
stability_enhanced_borda,-42.857142857142854,-42.857142857142854,-26.19047619047619,0.04625236850208059,0.21428571428571427,0.16315789473684209,0.5982456140350877,"[False, False, True, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False]"
stability_selection,-26.19047619047619,-26.19047619047619,-9.523809523809526,-0.1165645341316332,0.3333333333333333,0.18157894736842106,0.5921052631578947,"[False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False]"
MC1Fair,-42.857142857142854,-42.857142857142854,-42.857142857142854,0.08798058708640438,0.0,0.1780701754385965,0.5359649122807018,"[False, False, False, False, False, False, False, False, True, False, False, False, False, False, False, False, False, False, False]"
MC2Fair,-42.857142857142854,-42.857142857142854,-26.19047619047619,0.0616134120508261,0.2857142857142857,0.13859649122807016,0.5228070175438596,"[False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False]"
MC2,-42.857142857142854,-42.857142857142854,-26.19047619047619,0.06307520543940798,0.2619047619047619,0.13859649122807016,0.5271929824561403,"[False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False]"
MC3Fair,-42.857142857142854,-42.857142857142854,-26.19047619047619,0.06477386947326125,0.23809523809523808,0.15087719298245617,0.48947368421052634,"[False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False]"
MC3,-42.857142857142854,-42.857142857142854,-26.19047619047619,0.0616134120508261,0.2857142857142857,0.14473684210526316,0.5184210526315789,"[False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False]"
