,bestRankAggregated,borda_aggregation,exponential_enhanced_borda,exponential_weighting,highest_rank,lowest_rank,mc4_aggregator,robust_aggregation,round_robin,stability_enhanced_borda,stability_selection,MC1Fair,MC2Fair,MC2,MC3Fair,MC3
M01,6,6,6,6,6,8,7,6,10,6,6,4,2,7,1,6
M02,2,9,9,10,11,6,8,11,15,9,9,7,3,8,4,9
M03,9,10,10,9,9,9,10,9,11,12,12,6,4,10,3,10
M04,5,7,7,7,7,7,6,7,5,7,7,1,1,6,2,7
M05,12,15,15,17,19,10,14,12,16,18,18,14,14,15,17,17
M06,8,13,13,13,14,15,12,17,12,11,10,12,11,12,12,13
M07,10,12,12,12,12,11,13,13,9,13,13,17,12,13,8,12
M08,16,11,11,11,8,12,11,8,8,10,11,3,9,11,6,11
M09,3,16,16,15,15,16,15,16,13,15,14,15,15,16,16,16
M10,15,17,17,16,13,17,17,18,17,16,15,5,17,18,13,14
M11,19,14,14,14,17,18,13,15,14,14,16,13,13,14,15,15
M12,13,18,18,18,18,13,16,14,20,17,17,16,16,17,18,18
M13,18,20,20,20,20,19,18,19,18,20,19,20,19,19,20,20
M14,20,19,19,19,16,20,19,20,19,19,20,19,20,20,19,19
W01,1,1,1,1,1,1,1,1,3,1,1,2,5,1,5,1
W02,7,2,2,2,2,2,2,2,1,2,2,9,6,2,7,2
W03,17,3,3,3,3,4,4,3,4,4,4,8,8,4,9,3
W04,14,8,8,8,10,14,9,10,6,8,8,18,18,9,14,8
W05,4,4,5,5,4,3,5,4,2,3,3,10,10,5,10,5
W06,11,5,4,4,5,5,3,5,7,5,5,11,7,3,11,4
