,bestRankAggregated,borda_aggregation,exponential_enhanced_borda,exponential_weighting,highest_rank,lowest_rank,mc4_aggregator,robust_aggregation,round_robin,stability_enhanced_borda,stability_selection,MC1Fair,MC2Fair,MC2,MC3Fair,MC3
M01,2,7,7,7,4,4,6,4,7,7,7,12,4,7,2,6
M02,3,4,3,3,5,5,4,5,1,4,4,5,2,5,1,3
M03,8,12,13,13,8,11,13,11,11,12,11,9,11,13,11,13
M04,6,6,6,6,6,12,7,6,4,6,8,4,1,6,3,7
M05,13,14,14,14,9,15,15,13,12,14,13,16,12,15,15,15
M06,9,8,8,8,10,6,8,8,14,8,9,3,7,8,4,8
M07,12,18,18,17,14,16,17,18,19,18,17,10,15,17,18,18
M08,5,9,9,9,11,7,10,10,8,11,12,14,8,10,7,9
M09,16,17,17,18,17,17,18,14,13,17,18,13,16,18,16,16
M10,15,16,16,16,12,18,16,17,16,15,14,8,13,16,17,17
M11,10,15,15,15,15,13,14,15,15,16,16,2,10,14,12,14
M12,19,13,12,10,13,14,11,16,6,13,15,11,9,12,10,12
M13,20,20,20,20,20,19,20,19,20,20,20,20,19,20,20,20
M14,18,19,19,19,19,20,19,20,18,19,19,19,18,19,19,19
W01,4,1,1,1,1,1,1,1,3,1,1,1,3,1,5,1
W02,14,3,4,4,7,2,5,7,10,3,2,7,5,3,8,4
W03,7,2,2,2,2,3,2,2,5,2,3,6,6,2,6,2
W04,17,10,10,12,16,8,12,9,17,10,10,17,20,11,14,10
W05,11,11,11,11,18,9,9,12,9,9,5,18,17,9,13,11
W06,1,5,5,5,3,10,3,3,2,5,6,15,14,4,9,5
