,bestRankAggregated,borda_aggregation,exponential_enhanced_borda,exponential_weighting,highest_rank,lowest_rank,mc4_aggregator,robust_aggregation,round_robin,stability_enhanced_borda,stability_selection,MC1Fair,MC2Fair,MC2,MC3Fair,MC3
M01,14,5,4,4,4,7,4,4,1,9,10,10,1,4,1,4
M02,6,11,10,10,8,12,11,10,10,11,11,12,7,11,6,11
M03,2,9,7,6,9,13,6,12,4,8,6,5,8,10,3,8
M04,13,4,6,7,10,8,7,8,11,5,7,2,6,6,2,5
M05,8,8,11,11,15,2,10,5,13,4,3,1,2,9,5,9
M06,10,16,16,16,17,15,14,17,18,15,13,9,13,14,15,16
M07,12,13,13,13,11,16,13,15,9,13,14,8,14,13,11,13
M08,16,15,15,15,18,10,15,13,20,14,15,7,15,15,14,15
M09,5,12,12,12,13,11,12,14,5,12,12,13,10,12,10,12
M10,3,7,8,9,12,17,8,9,15,3,4,4,5,8,4,7
M11,9,18,18,18,16,18,17,18,16,17,17,6,16,17,17,18
M12,18,17,17,17,14,14,18,16,14,18,18,11,17,18,18,17
M13,19,20,20,20,20,19,20,19,19,20,20,20,19,20,20,20
M14,20,19,19,19,19,20,19,20,17,19,19,19,18,19,19,19
W01,1,2,1,1,1,4,1,1,2,2,2,14,3,1,8,1
W02,15,3,3,3,2,3,3,2,3,7,8,15,9,3,9,3
W03,17,14,14,14,5,5,16,11,12,16,16,16,20,16,16,14
W04,11,6,5,5,6,6,5,7,6,6,5,18,11,5,12,6
W05,7,1,2,2,3,1,2,3,7,1,1,3,4,2,7,2
W06,4,10,9,8,7,9,9,6,8,10,9,17,12,7,13,10
