,fairness_aggregation@10,fairness_aggregation@20,fairness_aggregation@50,exposure_aggregation,R_par_results,kemeny_distance,consensus accuracy,topKparity
bestRankAggregated,-26.19047619047619,-26.19047619047619,-9.523809523809526,-0.11304287063432661,0.19047619047619047,0.3719298245614034,0.49122807017543857,"[False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False]"
borda_aggregation,-26.19047619047619,-9.523809523809526,23.809523809523803,-0.20461553535111449,0.6428571428571429,0.3114035087719298,0.48157894736842105,"[False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False]"
exponential_enhanced_borda,-26.19047619047619,-9.523809523809526,23.809523809523803,-0.21188251235616773,0.6904761904761905,0.3105263157894737,0.506140350877193,"[False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False]"
exponential_weighting,-26.19047619047619,-9.523809523809526,23.809523809523803,-0.2143081155542317,0.7142857142857143,0.3096491228070175,0.4964912280701754,"[False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False]"
highest_rank,-26.19047619047619,-9.523809523809526,40.47619047619049,-0.2342076115094255,0.9285714285714286,0.34035087719298246,0.4131578947368421,"[False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False]"
lowest_rank,-26.19047619047619,-26.19047619047619,40.47619047619049,-0.1890876745723471,0.8333333333333334,0.3543859649122807,0.49298245614035086,"[False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False]"
mc4_aggregator,-26.19047619047619,-9.523809523809526,23.809523809523803,-0.2099742748141417,0.6428571428571429,0.3087719298245614,0.5184210526315789,"[False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False]"
robust_aggregation,-26.19047619047619,-9.523809523809526,23.809523809523803,-0.21592518973647176,0.7857142857142857,0.3175438596491228,0.4298245614035088,"[False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False]"
round_robin,-42.857142857142854,-26.19047619047619,7.142857142857146,-0.03589196777646131,0.5952380952380952,0.35789473684210527,0.4885964912280702,"[False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False]"
stability_enhanced_borda,-26.19047619047619,-9.523809523809526,7.142857142857146,-0.1731350901430532,0.5,0.3175438596491228,0.4675438596491228,"[False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False]"
stability_selection,-26.19047619047619,-9.523809523809526,7.142857142857146,-0.17739027309163183,0.5238095238095238,0.3166666666666667,0.512280701754386,"[False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False]"
MC1Fair,-42.857142857142854,-42.857142857142854,-26.19047619047619,0.08503638747514478,0.47619047619047616,0.437719298245614,0.5087719298245614,"[False, False, True, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False]"
MC2Fair,-42.857142857142854,-42.857142857142854,-9.523809523809526,0.03703684933310436,0.09523809523809523,0.33508771929824555,0.5245614035087719,"[False, False, True, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False]"
MC2,-26.19047619047619,-9.523809523809526,23.809523809523803,-0.21541167206868037,0.6904761904761905,0.3087719298245614,0.4517543859649123,"[False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False]"
MC3Fair,-42.857142857142854,-42.857142857142854,-42.857142857142854,0.08630737335786651,0.047619047619047616,0.3508771929824561,0.5473684210526316,"[False, False, False, False, False, False, False, True, False, False, False, False, False, False, False, False, False, False, False]"
MC3,-26.19047619047619,-9.523809523809526,23.809523809523803,-0.20461553535111449,0.6428571428571429,0.3105263157894736,0.48333333333333334,"[False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False]"
