,EPIK,EPIRA+Kemeny,EPIRA+Copeland,EPIRA+Copeland_noWiG,EPIRA+Schulze,EPIRA+Borda,EPIRA+Maximin
W01,0,1,1,1,1,1,0
W02,6,6,6,6,7,5,12
W03,2,5,3,3,3,3,3
W04,7,4,5,5,8,7,6
W05,5,3,2,2,2,2,2
W06,4,2,4,4,4,4,7
M01,9,9,8,8,9,8,8
M02,11,11,11,11,11,11,9
M03,1,0,0,0,0,0,1
M04,12,12,13,13,12,13,13
M05,10,10,10,10,5,10,4
M06,3,7,7,7,6,6,5
M07,13,13,12,12,13,12,10
M08,8,8,9,9,10,9,11
M09,16,17,17,17,14,14,14
M10,14,14,14,14,15,17,16
M11,15,15,15,15,16,16,17
M12,17,16,16,16,17,15,15
M13,19,19,19,19,19,18,18
M14,18,18,18,18,18,19,19
