,fairness_aggregation@10,fairness_aggregation@20,fairness_aggregation@50,exposure_aggregation,R_par_results,kemeny_distance,consensus accuracy,topKparity
bestRankAggregated,-42.857142857142854,-26.19047619047619,-9.523809523809526,0.00801188756833765,0.16666666666666666,0.3758771929824561,0.5521929824561403,"[False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False]"
borda_aggregation,-26.19047619047619,-26.19047619047619,40.47619047619049,-0.19452507182688575,0.8809523809523809,0.32149122807017544,0.44956140350877194,"[False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False]"
exponential_enhanced_borda,-26.19047619047619,-26.19047619047619,23.809523809523803,-0.18763389429090252,0.8333333333333334,0.32412280701754387,0.48026315789473684,"[False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False]"
exponential_weighting,-26.19047619047619,-26.19047619047619,23.809523809523803,-0.1760640742310247,0.7142857142857143,0.3285087719298246,0.5030701754385964,"[False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False]"
highest_rank,-26.19047619047619,-9.523809523809526,23.809523809523803,-0.21340772640646385,0.5714285714285714,0.3662280701754386,0.5530701754385965,"[False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False]"
lowest_rank,-26.19047619047619,-9.523809523809526,40.47619047619049,-0.23801348695289823,0.8809523809523809,0.3346491228070175,0.5039473684210526,"[False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False]"
mc4_aggregator,-26.19047619047619,-26.19047619047619,40.47619047619049,-0.19452507182688575,0.8809523809523809,0.31798245614035087,0.45921052631578946,"[False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False]"
robust_aggregation,-26.19047619047619,-9.523809523809526,23.809523809523803,-0.22142972921379775,0.7619047619047619,0.34429824561403505,0.5057017543859649,"[False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False]"
round_robin,-42.857142857142854,-42.857142857142854,7.142857142857146,0.01464308780428314,0.40476190476190477,0.3767543859649123,0.4776315789473684,"[False, False, True, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False]"
stability_enhanced_borda,-26.19047619047619,-26.19047619047619,40.47619047619049,-0.19151327777041108,0.8571428571428571,0.32499999999999996,0.45394736842105265,"[False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False]"
stability_selection,-26.19047619047619,-26.19047619047619,40.47619047619049,-0.19151327777041108,0.8571428571428571,0.32763157894736844,0.4451754385964912,"[False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False]"
MC1,-26.19047619047619,-26.19047619047619,-26.19047619047619,-0.0788510948508983,0.11904761904761904,0.42412280701754385,0.5153508771929824,"[False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False]"
MC2Fair,-42.857142857142854,-42.857142857142854,-9.523809523809526,0.025232382285266808,0.40476190476190477,0.3302631578947368,0.531140350877193,"[False, False, True, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False]"
MC2,-26.19047619047619,-26.19047619047619,40.47619047619049,-0.19151327777041108,0.8571428571428571,0.318859649122807,0.46535087719298246,"[False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False]"
MC3Fair,-42.857142857142854,-42.857142857142854,-42.857142857142854,0.07737457683600865,0.11904761904761904,0.35131578947368425,0.5442982456140351,"[False, False, False, False, False, False, False, True, False, False, False, False, False, False, False, False, False, False, False]"
MC3,-26.19047619047619,-26.19047619047619,23.809523809523803,-0.18763389429090252,0.8333333333333334,0.32412280701754387,0.4644736842105263,"[False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False]"
