,fairness_aggregation@10,fairness_aggregation@20,fairness_aggregation@50,exposure_aggregation,R_par_results,kemeny_distance,consensus accuracy,topKparity
bestRankAggregated,-26.19047619047619,-26.19047619047619,-9.523809523809526,-0.11404752553575603,0.21428571428571427,0.3210526315789473,0.5692982456140351,"[False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False]"
borda_aggregation,-26.19047619047619,-9.523809523809526,57.142857142857146,-0.2510370872942207,1.0,0.16578947368421054,0.4192982456140351,"[False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False]"
exponential_enhanced_borda,-26.19047619047619,-9.523809523809526,57.142857142857146,-0.2510370872942207,1.0,0.1649122807017544,0.4219298245614035,"[False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False]"
exponential_weighting,-26.19047619047619,-9.523809523809526,57.142857142857146,-0.2510370872942207,1.0,0.16754385964912286,0.4245614035087719,"[False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False]"
highest_rank,-26.19047619047619,-9.523809523809526,23.809523809523803,-0.23500770484709746,0.9047619047619048,0.2236842105263158,0.39210526315789473,"[False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False]"
lowest_rank,-26.19047619047619,-9.523809523809526,57.142857142857146,-0.2510370872942207,1.0,0.1903508771929824,0.39210526315789473,"[False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False]"
mc4_aggregator,-26.19047619047619,-9.523809523809526,57.142857142857146,-0.2510370872942207,1.0,0.16403508771929826,0.4236842105263158,"[False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False]"
robust_aggregation,-26.19047619047619,-9.523809523809526,23.809523809523803,-0.23500770484709746,0.9047619047619048,0.1991228070175439,0.40789473684210525,"[False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False]"
round_robin,-26.19047619047619,-26.19047619047619,23.809523809523803,-0.18520829109283854,0.8095238095238095,0.24736842105263157,0.44035087719298244,"[False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False]"
stability_enhanced_borda,-26.19047619047619,-9.523809523809526,57.142857142857146,-0.2510370872942207,1.0,0.1692982456140351,0.4245614035087719,"[False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False]"
stability_selection,-26.19047619047619,-9.523809523809526,57.142857142857146,-0.2510370872942207,1.0,0.17105263157894737,0.4324561403508772,"[False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False]"
MC1Fair,-42.857142857142854,-42.857142857142854,-42.857142857142854,0.09797711144914023,0.14285714285714285,0.40614035087719297,0.6517543859649123,"[False, False, False, False, False, False, False, False, False, True, False, False, False, False, False, False, False, False, False]"
MC2Fair,-42.857142857142854,-42.857142857142854,-9.523809523809526,0.05092520647179338,0.3333333333333333,0.2710526315789473,0.5780701754385965,"[False, False, False, False, True, False, False, False, False, False, False, False, False, False, False, False, False, False, False]"
MC2,-26.19047619047619,-9.523809523809526,57.142857142857146,-0.2510370872942207,1.0,0.16403508771929826,0.4236842105263158,"[False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False]"
MC3Fair,-42.857142857142854,-42.857142857142854,-26.19047619047619,0.06668637125697596,0.16666666666666666,0.30964912280701756,0.6307017543859649,"[False, False, False, False, True, True, False, False, False, False, False, False, False, False, False, False, False, False, False]"
MC3,-26.19047619047619,-9.523809523809526,57.142857142857146,-0.2510370872942207,1.0,0.17192982456140352,0.42543859649122806,"[False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False]"
