,fairness_rankers@10,fairness_rankers@20,fairness_rankers@50,exposure_rankers,R_par_rankers
ranker 1,-26.19047619047619,-9.523809523809526,23.809523809523803,-0.2038774834060322,0.7857142857142857
ranker 2,-26.19047619047619,-9.523809523809526,23.809523809523803,-0.21457370209220214,0.8571428571428571
ranker 3,-26.19047619047619,-9.523809523809526,23.809523809523803,-0.20154208864374243,0.7142857142857143
ranker 4,-26.19047619047619,-9.523809523809526,23.809523809523803,-0.23057394607561146,0.8571428571428571
ranker 5,-26.19047619047619,-9.523809523809526,23.809523809523803,-0.23500770484709746,0.9047619047619048
ranker 6,-26.19047619047619,-26.19047619047619,7.142857142857146,-0.1526242893703286,0.6904761904761905
ranker 7,-26.19047619047619,-9.523809523809526,40.47619047619049,-0.2342076115094255,0.9285714285714286
ranker 8,-26.19047619047619,-9.523809523809526,7.142857142857146,-0.19999809992652354,0.7619047619047619
ranker 9,-26.19047619047619,-9.523809523809526,7.142857142857146,-0.19999809992652354,0.7619047619047619
ranker 10,-26.19047619047619,-9.523809523809526,23.809523809523803,-0.2209947315264576,0.7142857142857143
ranker 11,-26.19047619047619,-9.523809523809526,23.809523809523803,-0.20931488066057083,0.8333333333333334
ranker 12,-26.19047619047619,-9.523809523809526,7.142857142857146,-0.18787307028138245,0.6904761904761905
