,bestRankAggregated,borda_aggregation,exponential_enhanced_borda,exponential_weighting,highest_rank,lowest_rank,mc4_aggregator,robust_aggregation,round_robin,stability_enhanced_borda,stability_selection,MC1Fair,MC2Fair,MC2,MC3Fair,MC3
M01,2,2,3,3,7,6,4,6,6,5,7,1,1,3,1,2
M02,6,8,8,8,8,9,8,9,12,8,8,2,4,8,3,8
M03,4,11,11,11,11,11,11,12,16,9,9,5,7,11,5,11
M04,8,9,7,7,9,10,9,11,10,10,10,3,5,9,2,7
M05,9,13,13,12,12,12,13,13,13,12,11,8,10,13,7,12
M06,3,10,10,9,5,13,10,5,1,11,12,6,6,10,4,10
M07,12,12,12,13,14,8,12,10,8,13,13,4,9,12,12,13
M08,13,15,15,15,15,14,14,15,15,15,15,9,15,15,15,15
M09,10,14,14,14,10,15,14,14,5,14,14,7,14,14,14,14
M10,15,16,16,16,13,16,15,16,11,16,16,13,16,16,16,16
M11,20,17,17,18,19,17,16,17,17,18,18,18,17,18,18,18
M12,19,18,18,17,17,18,16,18,19,17,17,17,18,17,17,17
M13,18,19,20,20,20,19,17,19,20,19,19,19,19,19,20,20
M14,16,20,19,19,18,20,18,20,18,20,20,20,20,20,19,19
W01,7,1,1,1,1,1,1,1,4,1,1,10,8,1,9,1
W02,1,3,4,4,2,2,2,2,2,2,2,16,2,2,8,3
W03,14,4,2,2,3,3,3,3,7,3,3,11,3,4,6,4
W04,5,6,6,6,4,4,6,4,3,4,4,12,13,5,11,6
W05,11,7,9,10,16,5,7,7,14,7,5,15,12,7,13,9
W06,17,5,5,5,6,7,5,8,9,6,6,14,11,6,10,5
