,EPIK,EPIRA+Kemeny,EPIRA+Copeland,EPIRA+Copeland_noWiG,EPIRA+Schulze,EPIRA+Borda,EPIRA+Maximin
W01,1,1,2,1,1,1,1
W02,3,2,1,4,2,2,2
W03,5,8,7,7,6,7,6
W04,2,3,4,3,3,3,3
W05,6,5,5,5,5,5,7
W06,4,4,3,2,4,4,4
M01,9,9,9,9,10,9,8
M02,10,7,8,8,11,10,10
M03,0,11,11,11,9,11,0
M04,11,13,12,12,8,8,5
M05,8,0,0,0,0,0,9
M06,7,6,6,6,7,6,11
M07,12,14,14,14,14,14,13
M08,13,10,10,10,12,12,12
M09,14,12,13,13,13,13,14
M10,16,17,17,17,17,17,16
M11,15,16,16,16,15,15,15
M12,18,18,18,18,18,16,17
M13,17,15,15,15,16,18,18
M14,19,19,19,19,19,19,19
