,fairness_rankers@10,fairness_rankers@20,fairness_rankers@50,exposure_rankers,R_par_rankers
ranker 1,-26.19047619047619,-26.19047619047619,7.142857142857146,-0.16536702125156877,0.7142857142857143
ranker 2,-42.857142857142854,-26.19047619047619,7.142857142857146,-0.014182193966287782,0.5238095238095238
ranker 3,-26.19047619047619,-26.19047619047619,-9.523809523809526,-0.11391650791712371,0.3333333333333333
ranker 4,-26.19047619047619,-26.19047619047619,7.142857142857146,-0.1385856891252723,0.5
ranker 5,-42.857142857142854,-42.857142857142854,7.142857142857146,-0.0014682495255529115,0.5714285714285714
ranker 6,-26.19047619047619,-26.19047619047619,-9.523809523809526,-0.12391303227985961,0.47619047619047616
ranker 7,-26.19047619047619,-9.523809523809526,23.809523809523803,-0.22187903671890355,0.8333333333333334
ranker 8,-26.19047619047619,-26.19047619047619,7.142857142857146,-0.1577728050576477,0.6190476190476191
ranker 9,-42.857142857142854,-42.857142857142854,-9.523809523809526,0.020798623513780812,0.4523809523809524
ranker 10,-26.19047619047619,-26.19047619047619,7.142857142857146,-0.1601984082557117,0.6428571428571429
ranker 11,-42.857142857142854,-26.19047619047619,-9.523809523809526,0.0027055079324312947,0.3333333333333333
ranker 12,-42.857142857142854,-26.19047619047619,-9.523809523809526,-0.006141184287518753,0.47619047619047616
