,bestRankAggregated,borda_aggregation,exponential_enhanced_borda,exponential_weighting,highest_rank,lowest_rank,mc4_aggregator,robust_aggregation,round_robin,stability_enhanced_borda,stability_selection,MC1Fair,MC1,MC2Fair,MC2,MC3Fair,MC3
M01,3,7,7,7,7,7,6,7,6,7,7,1,7,1,7,1,7
M02,2,8,8,8,8,10,7,10,7,9,9,2,8,2,8,2,8
M03,5,9,9,9,9,8,8,8,9,8,8,3,9,3,9,3,9
M04,6,10,10,10,11,9,8,9,11,10,10,5,11,4,10,11,11
M05,9,11,11,11,10,11,9,11,13,11,11,4,10,6,11,8,10
M06,10,12,12,13,12,12,10,12,10,12,12,13,13,11,12,13,13
M07,8,13,13,12,13,13,11,13,12,13,13,7,12,13,13,12,12
M08,13,15,15,15,14,18,13,15,15,15,14,15,15,15,15,15,15
M09,12,16,16,16,16,15,14,16,17,16,16,16,16,16,16,16,16
M10,15,14,14,14,15,14,12,14,16,14,15,14,14,14,14,14,14
M11,18,17,17,17,17,16,15,17,14,17,17,18,18,17,17,18,18
M12,16,18,18,18,18,17,16,18,18,18,18,17,17,18,18,17,17
M13,19,19,19,19,19,19,17,19,19,19,19,20,20,19,19,19,19
M14,20,20,20,20,20,20,18,20,20,20,20,19,19,20,20,20,20
W01,4,1,1,1,1,1,1,1,1,1,1,6,1,5,1,4,1
W02,14,3,3,3,2,2,2,2,2,3,2,8,2,7,3,5,3
W03,17,2,2,2,3,5,2,3,3,2,3,9,3,8,2,7,2
W04,11,5,6,6,6,3,5,5,8,5,4,11,5,12,6,10,5
W05,1,4,4,4,4,4,3,4,5,4,5,10,4,9,4,6,4
W06,7,6,5,5,5,6,4,6,4,6,6,12,6,10,5,9,6
