,fairness_aggregation@10,fairness_aggregation@20,fairness_aggregation@50,exposure_aggregation,R_par_results,kemeny_distance,consensus accuracy,topKparity
bestRankAggregated,-26.19047619047619,-26.19047619047619,-9.523809523809526,-0.11404752553575603,0.21428571428571427,0.26052631578947366,0.5868421052631579,"[False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False]"
borda_aggregation,-26.19047619047619,-9.523809523809526,40.47619047619049,-0.2311958174529508,0.9047619047619048,0.13421052631578947,0.4692982456140351,"[False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False]"
exponential_enhanced_borda,-26.19047619047619,-9.523809523809526,40.47619047619049,-0.2311958174529508,0.9047619047619048,0.13421052631578947,0.4692982456140351,"[False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False]"
exponential_weighting,-26.19047619047619,-9.523809523809526,40.47619047619049,-0.2311958174529508,0.9047619047619048,0.1368421052631579,0.47017543859649125,"[False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False]"
highest_rank,-26.19047619047619,-9.523809523809526,40.47619047619049,-0.247157703814712,0.9761904761904762,0.14912280701754385,0.4482456140350877,"[False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False]"
lowest_rank,-26.19047619047619,-9.523809523809526,57.142857142857146,-0.2510370872942207,1.0,0.15175438596491228,0.4675438596491228,"[False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False]"
mc4_aggregator,-26.19047619047619,-9.523809523809526,23.809523809523803,-0.2273164339734422,0.8809523809523809,0.12368421052631579,0.4644736842105263,"[False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False]"
robust_aggregation,-26.19047619047619,-9.523809523809526,40.47619047619049,-0.247157703814712,0.9761904761904762,0.1456140350877193,0.4482456140350877,"[False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False]"
round_robin,-26.19047619047619,-9.523809523809526,7.142857142857146,-0.19255254709856295,0.6904761904761905,0.1807017543859649,0.5070175438596491,"[False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False]"
stability_enhanced_borda,-26.19047619047619,-9.523809523809526,57.142857142857146,-0.2510370872942207,1.0,0.14736842105263157,0.4666666666666667,"[False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False]"
stability_selection,-26.19047619047619,-9.523809523809526,57.142857142857146,-0.2510370872942207,1.0,0.15350877192982457,0.4710526315789474,"[False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False]"
MC1Fair,-42.857142857142854,-42.857142857142854,-42.857142857142854,0.07609880578073053,0.14285714285714285,0.2657894736842105,0.6157894736842106,"[False, False, False, False, False, False, False, True, False, False, False, False, False, False, False, False, False, False, False]"
MC2Fair,-42.857142857142854,-42.857142857142854,7.142857142857146,0.02041005614285679,0.2857142857142857,0.22631578947368422,0.6350877192982456,"[False, False, True, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False]"
MC2,-26.19047619047619,-9.523809523809526,23.809523809523803,-0.2273164339734422,0.8809523809523809,0.13421052631578947,0.4535087719298246,"[False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False]"
MC3Fair,-42.857142857142854,-42.857142857142854,-9.523809523809526,0.04177214220955627,0.38095238095238093,0.20614035087719298,0.5605263157894737,"[False, False, False, True, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False]"
MC3,-26.19047619047619,-9.523809523809526,40.47619047619049,-0.2311958174529508,0.9047619047619048,0.13947368421052633,0.4710526315789474,"[False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False]"
