,EPIK,EPIRA+Kemeny,EPIRA+Copeland,EPIRA+Copeland_noWiG,EPIRA+Schulze,EPIRA+Borda,EPIRA+Maximin
W01,2,2,4,3,3,4,3
W02,1,1,1,5,1,1,1
W03,4,4,6,6,5,7,10
W04,3,3,2,1,2,2,2
W05,6,6,5,4,6,5,4
W06,5,5,3,2,4,3,5
M01,0,0,0,0,0,0,0
M02,8,8,8,8,7,6,6
M03,9,9,7,7,8,9,7
M04,7,7,9,9,9,8,8
M05,11,11,11,11,10,10,9
M06,10,10,10,10,11,11,11
M07,12,12,12,12,12,12,12
M08,13,13,13,13,13,13,13
M09,14,14,14,14,14,14,14
M10,15,16,16,16,15,15,15
M11,18,18,18,18,18,18,16
M12,16,15,15,15,16,16,17
M13,17,17,17,17,17,17,18
M14,19,19,19,19,19,19,19
