,fairness_rankers@10,fairness_rankers@20,fairness_rankers@50,exposure_rankers,R_par_rankers
ranker 1,-26.19047619047619,-9.523809523809526,23.809523809523803,-0.22187903671890355,0.8333333333333334
ranker 2,-26.19047619047619,-9.523809523809526,23.809523809523803,-0.20162360978691557,0.8095238095238095
ranker 3,-26.19047619047619,-26.19047619047619,7.142857142857146,-0.16536702125156877,0.7142857142857143
ranker 4,-26.19047619047619,-9.523809523809526,-9.523809523809526,-0.1682520681804919,0.47619047619047616
ranker 5,-26.19047619047619,-26.19047619047619,-9.523809523809526,-0.1283492607575729,0.5476190476190477
ranker 6,-26.19047619047619,-9.523809523809526,7.142857142857146,-0.2107326762343417,0.7619047619047619
ranker 7,-26.19047619047619,-26.19047619047619,7.142857142857146,-0.13766604149162012,0.6190476190476191
ranker 8,-26.19047619047619,-9.523809523809526,7.142857142857146,-0.1923068290528684,0.7380952380952381
ranker 9,-26.19047619047619,-9.523809523809526,23.809523809523803,-0.2273164339734422,0.8809523809523809
ranker 10,-26.19047619047619,-9.523809523809526,7.142857142857146,-0.19029867347944637,0.7142857142857143
ranker 11,-26.19047619047619,-9.523809523809526,7.142857142857146,-0.1923068290528684,0.7380952380952381
ranker 12,-26.19047619047619,-26.19047619047619,7.142857142857146,-0.14517873654236807,0.6190476190476191
